日期,股票代號,股票名稱,收盤價,月平均價
"1150129","0050","元大台灣50","73.75","71.27"
"1150129","0051","元大中型100","106.55","99.90"
"1150129","0052","富邦科技","43.96","41.81"
"1150129","0053","元大電子","163.50","154.79"
"1150129","0055","元大MSCI金融","32.43","32.12"
"1150129","0056","元大高股息","38.26","37.88"
"1150129","0057","富邦摩台","217.90","208.50"
"1150129","0061","元大寶滬深","23.50","23.72"
"1150129","006203","元大MSCI台灣","133.20","128.84"
"1150129","006204","永豐臺灣加權","166.25","158.63"
"1150129","006205","富邦上証","40.96","40.96"
"1150129","006206","元大上證50","37.77","38.08"
"1150129","006207","復華滬深","31.43","31.62"
"1150129","006208","富邦台50","170.75","163.21"
"1150129","00625K","富邦上証+R","","9.14"
"1150129","00631L","元大台灣50正2","458.75","421.61"
"1150129","00632R","元大台灣50反1","14.62","15.26"
"1150129","00633L","富邦上証正2","47.58","49.79"
"1150129","00634R","富邦上証反1","3.26","3.21"
"1150129","00635U","期元大S&P黃金","60.55","50.63"
"1150129","00636","國泰中國A50","26.44","27.14"
"1150129","00636K","國泰中國A50+U","8.46","8.64"
"1150129","00637L","元大滬深300正2","19.49","20.46"
"1150129","00638R","元大滬深300反1","6.99","6.88"
"1150129","00639","富邦深100","15.21","15.51"
"1150129","00640L","富邦日本正2","83.50","85.01"
"1150129","00641R","富邦日本反1","4.40","4.36"
"1150129","00642U","期元大S&P石油","16.83","15.63"
"1150129","00643","群益深証中小","17.92","18.04"
"1150129","00643K","群益深証中小+R","","4.00"
"1150129","00645","富邦日本","49.64","50.04"
"1150129","00646","元大S&P500","68.55","68.49"
"1150129","00647L","元大S&P500正2","119.65","118.53"
"1150129","00648R","元大S&P500反1","4.28","4.33"
"1150129","00650L","復華香港正2","20.56","18.98"
"1150129","00651R","復華香港反1","4.88","5.11"
"1150129","00652","富邦印度","35.72","36.75"
"1150129","00653L","富邦印度正2","54.10","56.09"
"1150129","00654R","富邦印度反1","6.48","6.38"
"1150129","00655L","國泰中國A50正2","32.88","34.53"
"1150129","00656R","國泰中國A50反1","6.21","6.09"
"1150129","00657","國泰日經225","63.20","62.29"
"1150129","00657K","國泰日經225+U","20.25","19.73"
"1150129","00660","元大歐洲50","43.61","43.32"
"1150129","00661","元大日經225","68.95","68.22"
"1150129","00662","富邦NASDAQ","104.65","103.48"
"1150129","00663L","國泰臺灣加權正2","60.00","55.04"
"1150129","00664R","國泰臺灣加權反1","2.37","2.47"
"1150129","00665L","富邦恒生國企正2","12.15","11.40"
"1150129","00666R","富邦恒生國企反1","8.26","8.60"
"1150129","00668","國泰美國道瓊","55.90","56.45"
"1150129","00668K","國泰美國道瓊+U","17.89","17.93"
"1150129","00669R","國泰美國道瓊反1","5.62","5.62"
"1150129","00670L","富邦NASDAQ正2","170.10","164.09"
"1150129","00671R","富邦NASDAQ反1","2.78","2.83"
"1150129","00673R","期元大S&P原油反1","25.28","27.45"
"1150129","00674R","期元大S&P黃金反1","4.58","5.41"
"1150129","00675L","富邦臺灣加權正2","182.00","167.26"
"1150129","00676R","富邦臺灣加權反1","8.02","8.39"
"1150129","00678","群益那斯達克生技","35.54","35.52"
"1150129","00680L","元大美債20正2","7.11","7.22"
"1150129","00681R","元大美債20反1","20.86","20.81"
"1150129","00682U","期元大美元指數","19.74","20.19"
"1150129","00683L","期元大美元指正2","19.95","20.78"
"1150129","00684R","期元大美元指反1","15.90","15.59"
"1150129","00685L","群益臺灣加權正2","163.35","150.12"
"1150129","00686R","群益臺灣加權反1","1.43","1.50"
"1150129","00688L","國泰20年美債正2","7.09","7.20"
"1150129","00689R","國泰20年美債反1","21.72","21.67"
"1150129","00690","兆豐藍籌30","51.30","48.27"
"1150129","00692","富邦公司治理","64.95","62.31"
"1150129","00693U","期街口S&P黃豆","20.59","20.25"
"1150129","00700","富邦恒生國企","19.26","18.78"
"1150129","00701","國泰股利精選30","29.32","29.32"
"1150129","00702","國泰標普低波高息","23.20","23.45"
"1150129","00703","台新MSCI中國","22.68","22.35"
"1150129","00706L","期元大S&P日圓正2","21.29","20.37"
"1150129","00707R","期元大S&P日圓反1","30.47","31.19"
"1150129","00708L","期元大S&P黃金正2","144.30","107.21"
"1150129","00709","富邦歐洲","38.71","38.03"
"1150129","00710B","復華彭博非投等債","18.94","19.07"
