日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150914,2026-09-14,上市,00400A,主動國泰動能高息,14.72,-0.0800,14.48,14.78,14.39,30544000,445029680,6581,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00401A,主動摩根台灣鑫收,13.87,0.0000,13.80,13.92,13.70,6582000,90977010,1053,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00402A,主動安聯美國科技,9.44,-0.0200,9.40,9.44,9.37,2252000,21209430,320,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00403A,主動統一升級50,10.09,-0.0800,10.00,10.15,9.92,146571000,1471313750,23476,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00404A,主動聯博動能50,9.80,-0.0200,9.78,9.84,9.69,21329000,208238900,3328,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00405A,主動富邦台灣龍耀,8.56,-0.0300,8.42,8.64,8.35,38238000,325563870,4738,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00406A,主動中信台灣收益,9.39,-0.0500,9.32,9.45,9.25,192884000,1800452690,34978,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00407A,主動凱基台灣,9.46,-0.0900,9.36,9.52,9.30,21131000,198879340,3743,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00408A,主動第一金優股息,10.22,-0.0400,10.18,10.29,10.08,2749000,28121780,255,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00409A,主動復華全球50,9.53,-0.1000,9.54,9.56,9.45,14809000,140759590,3187,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00410A,主動永豐科技趨勢,11.68,-0.1600,11.61,11.72,11.45,4611000,53565560,1033,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,0050,元大台灣50,106.90,-0.8000,106.30,107.15,105.85,82356000,8769004650,34629,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,0051,元大中型100,143.45,-1.3000,144.00,144.00,141.00,53000,7549350,52,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,0052,富邦科技,61.90,-0.6500,61.70,62.15,61.50,10740000,664529450,5996,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,0053,元大電子,238.95,-2.2000,238.60,239.15,236.65,78000,18578150,55,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,0055,元大MSCI金融,50.30,0.9800,49.33,50.45,48.75,1178000,58229260,411,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,0056,元大高股息,55.40,0.1000,54.90,55.55,54.55,17690000,973176700,9103,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,0057,富邦摩台,318.35,-2.9000,316.10,318.75,315.90,10000,3176650,10,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,0061,元大寶滬深,23.95,0.0300,23.79,24.00,23.77,34000,812090,14,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,006203,元大MSCI台灣,194.60,-1.6500,192.75,194.60,191.90,10000,1931800,10,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,006204,永豐臺灣加權,230.10,-2.0500,227.90,230.10,227.90,22000,5040000,4,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,006205,富邦上証,39.82,0.1700,39.65,39.95,39.65,166000,6612230,37,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,006206,元大上證50,37.19,0.1300,36.72,37.33,36.72,10000,370870,7,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,006207,復華滬深,31.72,0.0100,31.65,31.86,31.59,115000,3658490,11,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,006208,富邦台50,244.65,-1.4500,242.90,245.40,242.25,1564000,381841800,1029,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00625K,富邦上証+R,,0.0000,,,,,,,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00631L,元大台灣50正2,35.40,-0.5800,34.99,35.67,34.84,166338000,5852378760,48134,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00632R,元大台灣50反1,9.97,0.0600,10.06,10.08,9.94,134340000,1346431640,9901,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00633L,富邦上証正2,47.00,-0.2000,47.12,47.34,46.80,563000,26506970,167,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00634R,富邦上証反1,3.16,0.0100,3.16,3.17,3.15,74000,233850,11,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00635U,期元大S&P黃金,44.64,-0.1200,44.80,44.91,44.62,2228000,99681340,782,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00636,國泰中國A50,27.18,0.0500,27.13,27.28,27.06,308000,8367030,48,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00636K,國泰中國A50+U,8.60,0.0100,8.60,8.60,8.60,200,1720,2,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00637L,元大滬深300正2,19.35,-0.0700,19.40,19.51,19.29,11835000,229680000,877,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00638R,元大滬深300反1,6.74,0.0300,6.76,6.76,6.72,259000,1746740,13,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00639,富邦深100,15.86,-0.0400,15.83,15.99,15.80,441000,6997410,58,TWSE_CSV,2026-09-14 14:16:07 +0800
1150914,2026-09-14,上市,00640L,富邦日本正2,104.80,1.3500,104.40,105.35,104.10,112000,11700300,36,TWSE_CSV,2026-09-14 14:16:07 +0800
