日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150915,2026-09-15,上市,00400A,主動國泰動能高息,14.42,-0.3000,14.64,14.68,14.39,29477000,427876090,7751,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00401A,主動摩根台灣鑫收,13.76,-0.1100,13.86,13.90,13.72,3848000,53140250,673,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00402A,主動安聯美國科技,9.40,-0.0400,9.44,9.45,9.40,4166000,39266840,368,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00403A,主動統一升級50,9.95,-0.1400,10.04,10.13,9.95,128115000,1282451810,25227,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00404A,主動聯博動能50,9.72,-0.0800,9.80,9.82,9.70,29551000,288204990,5441,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00405A,主動富邦台灣龍耀,8.32,-0.2400,8.52,8.56,8.31,48790000,410531100,7447,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00406A,主動中信台灣收益,9.28,-0.1100,9.37,9.44,9.27,170547000,1590953450,34789,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00407A,主動凱基台灣,9.27,-0.1900,9.42,9.47,9.26,21152000,197785250,4826,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00408A,主動第一金優股息,10.11,-0.1100,10.20,10.24,10.10,526000,5339000,219,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00409A,主動復華全球50,9.49,-0.0400,9.53,9.58,9.47,9699000,92469800,2316,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,00410A,主動永豐科技趨勢,11.42,-0.2600,11.60,11.67,11.42,4864000,56016560,948,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,0050,元大台灣50,106.25,-0.6500,106.75,106.95,106.15,55442000,5905921300,24111,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,0051,元大中型100,141.00,-2.4500,142.95,143.05,141.00,104000,14749950,49,TWSE_CSV,2026-09-15 14:15:45 +0800
1150915,2026-09-15,上市,0052,富邦科技,61.60,-0.3000,61.70,62.10,61.50,9893000,610880000,3417,TWSE_CSV,2026-09-15 14:15:45 +0800
