日期,股票代號,股票名稱,收盤價,月平均價
"1150316","0050","元大台灣50","75.60","76.74"
"1150316","0051","元大中型100","109.75","107.38"
"1150316","0052","富邦科技","45.17","45.58"
"1150316","0053","元大電子","169.05","169.63"
"1150316","0055","元大MSCI金融","32.62","32.74"
"1150316","0056","元大高股息","38.81","38.53"
"1150316","0057","富邦摩台","224.40","226.40"
"1150316","0061","元大寶滬深","23.86","23.68"
"1150316","006203","元大MSCI台灣","137.35","138.65"
"1150316","006204","永豐臺灣加權","171.60","171.57"
"1150316","006205","富邦上証","40.98","41.09"
"1150316","006206","元大上證50","37.34","37.40"
"1150316","006207","復華滬深","32.03","31.72"
"1150316","006208","富邦台50","175.50","177.87"
"1150316","00625K","富邦上証+R","","8.91"
"1150316","00631L","元大台灣50正2","463.60","472.90"
"1150316","00632R","元大台灣50反1","14.23","14.18"
"1150316","00633L","富邦上証正2","47.42","46.21"
"1150316","00634R","富邦上証反1","3.27","3.29"
"1150316","00635U","期元大S&P黃金","53.00","54.79"
"1150316","00636","國泰中國A50","27.16","26.64"
"1150316","00636K","國泰中國A50+U","8.51","8.44"
"1150316","00637L","元大滬深300正2","19.61","19.04"
"1150316","00638R","元大滬深300反1","7.06","7.12"
"1150316","00639","富邦深100","15.98","15.61"
"1150316","00640L","富邦日本正2","84.65","89.16"
"1150316","00641R","富邦日本反1","4.31","4.21"
"1150316","00642U","期元大S&P石油","26.57","22.94"
"1150316","00643","群益深証中小","18.61","18.32"
"1150316","00643K","群益深証中小+R","","3.99"
"1150316","00645","富邦日本","50.25","51.52"
"1150316","00646","元大S&P500","67.25","67.56"
"1150316","00647L","元大S&P500正2","109.65","112.40"
"1150316","00648R","元大S&P500反1","4.50","4.44"
"1150316","00650L","復華香港正2","17.68","17.33"
"1150316","00651R","復華香港反1","5.30","5.32"
"1150316","00652","富邦印度","33.18","34.56"
"1150316","00653L","富邦印度正2","44.41","48.82"
"1150316","00654R","富邦印度反1","7.16","6.82"
"1150316","00655L","國泰中國A50正2","32.95","32.03"
"1150316","00656R","國泰中國A50反1","6.27","6.30"
"1150316","00657","國泰日經225","62.95","64.53"
"1150316","00657K","國泰日經225+U","19.72","20.36"
"1150316","00660","元大歐洲50","42.18","42.49"
"1150316","00661","元大日經225","69.05","70.80"
"1150316","00662","富邦NASDAQ","101.05","100.90"
"1150316","00663L","國泰臺灣加權正2","60.60","61.84"
"1150316","00664R","國泰臺灣加權反1","2.30","2.29"
"1150316","00665L","富邦恒生國企正2","10.21","9.83"
"1150316","00666R","富邦恒生國企反1","9.01","9.17"
"1150316","00668","國泰美國道瓊","54.75","55.33"
"1150316","00668K","國泰美國道瓊+U","17.01","17.49"
"1150316","00669R","國泰美國道瓊反1","5.93","5.79"
"1150316","00670L","富邦NASDAQ正2","148.15","151.01"
"1150316","00671R","富邦NASDAQ反1","2.95","2.93"
"1150316","00673R","期元大S&P原油反1","18.79","19.75"
"1150316","00674R","期元大S&P黃金反1","4.97","4.81"
"1150316","00675L","富邦臺灣加權正2","184.00","187.70"
"1150316","00676R","富邦臺灣加權反1","7.83","7.80"
"1150316","00678","群益那斯達克生技","35.62","35.92"
"1150316","00680L","元大美債20正2","7.17","7.40"
"1150316","00681R","元大美債20反1","20.94","20.56"
"1150316","00682U","期元大美元指數","20.68","20.40"
"1150316","00683L","期元大美元指正2","21.81","21.17"
"1150316","00684R","期元大美元指反1","15.17","15.36"
"1150316","00685L","群益臺灣加權正2","165.60","168.83"
"1150316","00686R","群益臺灣加權反1","1.40","1.40"
"1150316","00688L","國泰20年美債正2","7.15","7.38"
"1150316","00689R","國泰20年美債反1","21.89","21.42"
"1150316","00690","兆豐藍籌30","51.75","52.00"
"1150316","00692","富邦公司治理","66.70","67.43"
"1150316","00693U","期街口S&P黃豆","22.68","22.49"
"1150316","00700","富邦恒生國企","17.98","17.51"
"1150316","00701","國泰股利精選30","28.88","29.07"
"1150316","00702","國泰標普低波高息","24.02","24.37"
"1150316","00703","台新MSCI中國","21.07","20.57"
"1150316","00706L","期元大S&P日圓正2","19.54","19.88"
"1150316","00707R","期元大S&P日圓反1","32.07","31.77"
"1150316","00708L","期元大S&P黃金正2","114.60","122.28"
"1150316","00709","富邦歐洲","37.44","37.89"
"1150316","00710B","復華彭博非投等債","19.13","19.09"
"1150316","00711B","復華彭博新興債","16.41","16.50"
"1150316","00712","復華富時不動產","9.00","9.18"
"1150316","00713","元大台灣高息低波","52.45","52.36"
"1150316","00714","群益道瓊美國地產","21.17","21.13"
"1150316","00715L","期街口布蘭特正2","55.00","43.73"
"1150316","00717","富邦美國特別股","15.01","15.07"
"1150316","00728","第一金工業30","44.19","43.74"
"1150316","00730","富邦臺灣優質高息","22.82","22.88"
"1150316","00731","復華富時高息低波","71.45","71.80"
"1150316","00733","富邦臺灣中小","55.35","54.84"
"1150316","00735","國泰臺韓科技","67.25","67.82"
"1150316","00736","國泰新興市場","28.63","28.74"
"1150316","00737","國泰AI機器人","33.62","34.13"
"1150316","00738U","期元大道瓊白銀","65.30","70.06"
"1150316","00739","元大MSCI A股","27.76","27.56"
"1150316","00752","中信中國50","25.27","24.50"
"1150316","00753L","中信中國50正2","11.35","10.95"
"1150316","00757","統一FANG+","111.25","110.43"
"1150316","00762","元大全球AI","83.10","81.98"
