日期,股票代號,股票名稱,收盤價,月平均價
"1150312","0050","元大台灣50","76.60","76.95"
"1150312","0051","元大中型100","108.70","106.98"
"1150312","0052","富邦科技","45.65","45.66"
"1150312","0053","元大電子","170.75","169.70"
"1150312","0055","元大MSCI金融","32.42","32.80"
"1150312","0056","元大高股息","38.53","38.50"
"1150312","0057","富邦摩台","227.60","226.77"
"1150312","0061","元大寶滬深","23.74","23.63"
"1150312","006203","元大MSCI台灣","139.40","138.86"
"1150312","006204","永豐臺灣加權","172.00","171.68"
"1150312","006205","富邦上証","40.94","41.07"
"1150312","006206","元大上證50","37.18","37.40"
"1150312","006207","復華滬深","31.80","31.64"
"1150312","006208","富邦台50","177.85","178.32"
"1150312","00625K","富邦上証+R","","8.91"
"1150312","00631L","元大台灣50正2","470.00","474.86"
"1150312","00632R","元大台灣50反1","14.15","14.17"
"1150312","00633L","富邦上証正2","46.28","45.97"
"1150312","00634R","富邦上証反1","3.29","3.30"
"1150312","00635U","期元大S&P黃金","54.40","55.06"
"1150312","00636","國泰中國A50","26.78","26.52"
"1150312","00636K","國泰中國A50+U","8.48","8.42"
"1150312","00637L","元大滬深300正2","19.10","18.92"
"1150312","00638R","元大滬深300反1","7.12","7.13"
"1150312","00639","富邦深100","15.71","15.52"
"1150312","00640L","富邦日本正2","86.60","90.04"
"1150312","00641R","富邦日本反1","4.24","4.20"
"1150312","00642U","期元大S&P石油","25.16","22.25"
"1150312","00643","群益深証中小","18.45","18.25"
"1150312","00643K","群益深証中小+R","","3.99"
"1150312","00645","富邦日本","50.90","51.76"
"1150312","00646","元大S&P500","67.10","67.64"
"1150312","00647L","元大S&P500正2","110.70","112.94"
"1150312","00648R","元大S&P500反1","4.48","4.42"
"1150312","00650L","復華香港正2","17.21","17.29"
"1150312","00651R","復華香港反1","5.33","5.32"
"1150312","00652","富邦印度","34.00","34.84"
"1150312","00653L","富邦印度正2","47.13","49.65"
"1150312","00654R","富邦印度反1","6.93","6.76"
"1150312","00655L","國泰中國A50正2","32.06","31.83"
"1150312","00656R","國泰中國A50反1","6.30","6.31"
"1150312","00657","國泰日經225","63.70","64.86"
"1150312","00657K","國泰日經225+U","20.09","20.48"
"1150312","00660","元大歐洲50","41.77","42.55"
"1150312","00661","元大日經225","69.85","71.16"
"1150312","00662","富邦NASDAQ","101.30","100.89"
"1150312","00663L","國泰臺灣加權正2","61.45","62.09"
"1150312","00664R","國泰臺灣加權反1","2.29","2.29"
"1150312","00665L","富邦恒生國企正2","9.81","9.77"
"1150312","00666R","富邦恒生國企反1","9.18","9.20"
"1150312","00668","國泰美國道瓊","54.55","55.47"
"1150312","00668K","國泰美國道瓊+U","17.32","17.59"
"1150312","00669R","國泰美國道瓊反1","5.87","5.77"
"1150312","00670L","富邦NASDAQ正2","150.95","151.57"
"1150312","00671R","富邦NASDAQ反1","2.93","2.93"
"1150312","00673R","期元大S&P原油反1","19.00","19.94"
"1150312","00674R","期元大S&P黃金反1","4.84","4.79"
"1150312","00675L","富邦臺灣加權正2","186.40","188.45"
"1150312","00676R","富邦臺灣加權反1","7.78","7.79"
"1150312","00678","群益那斯達克生技","35.91","36.00"
"1150312","00680L","元大美債20正2","7.18","7.45"
