資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1150310","00679B","元大美債20年","27.85","+0.30","27.77","27.90","27.77","58769000","1637323670","5651","27.85","27.86","7902692000","9999.95","0.01"
"1150310","00687B","國泰20年美債","29.27","+0.36","29.27","29.29","29.22","58487000","1711408980","5143","29.26","29.27","5993634927","9999.95","0.01"
"1150310","00687C","國泰20年美債+櫃U","9.62","+0.15","9.63","9.63","9.61","50700","488229","8","9.61","9.62","2012268","9999.95","0.01"
"1150310","00694B","富邦美債1-3","42.11","-0.05","42.08","42.15","42.07","1389000","58538630","42","42.11","42.12","180076000","9999.95","0.01"
"1150310","00695B","富邦美債7-10","36.19","+0.13","36.19","36.25","36.14","373000","13507390","37","36.19","36.20","39686000","9999.95","0.01"
"1150310","00696B","富邦美債20年","30.36","+0.35","30.37","30.40","30.31","3485000","105762840","214","30.35","30.36","678181000","9999.95","0.01"
"1150310","00697B","元大美債7-10","36.73","+0.15","36.69","36.77","36.68","440000","16160660","94","36.73","36.74","67212000","9999.95","0.01"
"1150310","00719B","元大美債1-3","31.33","-0.03","31.35","31.38","31.28","5212000","163383420","437","31.33","31.34","529014000","9999.95","0.01"
"1150310","00720B","元大投資級公司債","33.93","+0.48","33.75","33.95","33.75","19433000","659134840","2348","33.93","33.94","4188109000","9999.95","0.01"
"1150310","00722B","群益投資級電信債","37.39","+0.57","37.03","37.39","37.03","3490000","130382120","454","37.39","37.40","1489239000","9999.95","0.01"
"1150310","00723B","群益投資級科技債","31.77","+0.43","31.79","31.79","31.71","283000","8985260","15","31.74","31.75","1516583000","9999.95","0.01"
"1150310","00724B","群益投資級金融債","34.76","+0.38","34.61","34.77","34.61","5967000","207425670","199","34.76","34.77","3062775000","9999.95","0.01"
"1150310","00725B","國泰投資級公司債","35.99","+0.48","35.82","36.00","35.82","15440000","555146770","1427","35.98","35.99","3761206000","9999.95","0.01"
"1150310","00726B","國泰新興投等債","33.66","+0.23","33.58","33.71","33.58","427000","14361660","39","33.64","33.66","1192989000","9999.95","0.01"
"1150310","00727B","國泰優選非投等債","40.04","+0.06","39.93","40.04","39.93","118000","4723720","6","40.01","40.04","55189000","9999.95","0.01"
"1150310","00734B","台新JPM新興債","15.99","-0.01","15.97","15.99","15.97","116000","1854520","4","15.98","15.99","26979000","9999.95","0.01"
"1150310","00740B","富邦全球投等債","39.72","+0.51","39.34","39.74","39.34","11500000","456415140","272","39.71","39.72","1938971000","9999.95","0.01"
"1150310","00741B","富邦全球非投等債","37.73","+0.14","37.26","37.75","37.26","168000","6334560","27","37.64","37.73","15628000","9999.95","0.01"
"1150310","00746B","富邦A級公司債","36.54","+0.39","36.06","36.59","36.06","1196000","43722300","71","36.54","36.57","2420964000","9999.95","0.01"
"1150310","00749B","凱基新興債10+","32.46","+0.29","32.17","32.46","32.17","132000","4282610","15","32.44","32.45","1168500000","9999.95","0.01"
"1150310","00750B","凱基科技債10+","34.06","+0.39","34.08","34.08","34.06","101000","3440080","3","34.01","34.05","147500000","9999.95","0.01"
"1150310","00751B","元大AAA至A公司債","32.83","+0.48","32.65","32.84","32.65","12967000","425314110","1973","32.83","32.84","4710103000","9999.95","0.01"
"1150310","00754B","群益AAA-AA公司債","34.61","+0.42","34.66","34.67","34.58","284000","9827300","22","34.60","34.62","1145900000","9999.95","0.01"
"1150310","00755B","群益投資級公用債","33.55","+0.41","33.59","33.59","33.52","227000","7617920","21","33.55","33.62","274730000","9999.95","0.01"
"1150310","00756B","群益投等新興公債","31.92","+0.31","31.84","31.98","31.80","233000","7438920","35","31.92","31.93","1457800000","9999.95","0.01"
"1150310","00758B","復華能源債","52.50","+0.45","52.50","52.50","52.50","100000","5250000","2","52.35","52.55","5525000","9999.95","0.01"
"1150310","00759B","復華製藥債","55.85","+0.50","55.80","55.85","55.80","103000","5752400","3","55.70","55.75","47525000","9999.95","0.01"
"1150310","00760B","復華新興企業債","54.70","+0.55","54.45","54.90","54.45","141000","7708300","37","54.70","54.75","458020000","9999.95","0.01"
"1150310","00761B","國泰A級公司債","35.45","+0.51","35.21","35.46","35.21","618000","21897710","74","35.44","35.45","2765589000","9999.95","0.01"
"1150310","00764B","群益25年美債","29.26","+0.40","29.09","29.27","29.09","8726000","255109920","292","29.25","29.26","1354000000","9999.95","0.01"
"1150310","00768B","復華20年美債","52.60","+0.55","52.60","52.70","52.55","1196000","62925600","61","52.55","52.60","684100000","9999.95","0.01"
"1150310","00772B","中信高評級公司債","34.63","+0.42","34.48","34.65","34.48","6189000","214240280","717","34.63","34.64","3483290000","9999.95","0.01"
