資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1150204","00679B","元大美債20年","27.16","+0.08","27.14","27.17","27.11","17332000","470412430","1999","27.15","27.16","8287692000","9999.95","0.01"
"1150204","00687B","國泰20年美債","28.21","+0.05","28.23","28.24","28.18","16007000","451607910","1654","28.21","28.22","6322634927","9999.95","0.01"
"1150204","00687C","國泰20年美債+櫃U","9.34","+0.02","9.33","9.34","9.33","25200","235117","4","9.33","9.34","2012268","9999.95","0.01"
"1150204","00694B","富邦美債1-3","41.68","-0.02","41.70","41.72","41.68","186000","7754150","23","41.67","41.68","179076000","9999.95","0.01"
"1150204","00695B","富邦美債7-10","35.43","+0.03","35.48","35.48","35.43","374000","13255480","18","35.42","35.43","39686000","9999.95","0.01"
"1150204","00696B","富邦美債20年","29.27","+0.07","29.24","29.29","29.23","2463000","72055900","100","29.26","29.27","786681000","9999.95","0.01"
"1150204","00697B","元大美債7-10","35.99","-0.01","36.03","36.07","35.96","416000","14981900","79","35.99","36.00","67712000","9999.95","0.01"
"1150204","00719B","元大美債1-3","31.07","0.00","31.07","31.14","31.06","2150000","66819460","358","31.06","31.07","526514000","9999.95","0.01"
"1150204","00720B","元大投資級公司債","33.40","0.00","33.39","33.43","33.38","4815000","160851510","520","33.39","33.40","4293609000","9999.95","0.01"
"1150204","00722B","群益投資級電信債","36.51","+0.01","36.50","36.51","36.45","3033000","110680650","283","36.51","36.52","1489239000","9999.95","0.01"
"1150204","00723B","群益投資級科技債","31.42","+0.02","31.41","31.42","31.37","190000","5967190","17","31.39","31.42","1516583000","9999.95","0.01"
"1150204","00724B","群益投資級金融債","34.38","0.00","34.34","34.40","34.34","3514000","120744720","77","34.38","34.39","3046775000","9999.95","0.01"
"1150204","00725B","國泰投資級公司債","35.51","-0.01","35.52","35.52","35.47","2530000","89822700","375","35.50","35.51","3773706000","9999.95","0.01"
"1150204","00726B","國泰新興投等債","33.32","-0.03","33.27","33.34","33.27","184000","6128940","44","33.31","33.32","1183489000","9999.95","0.01"
"1150204","00727B","國泰優選非投等債","39.97","-0.07","40.00","40.05","39.97","109000","4360870","6","39.99","40.01","55189000","9999.95","0.01"
"1150204","00734B","台新JPM新興債","15.73","+0.01","15.72","15.73","15.67","459000","7203950","31","15.73","15.75","26979000","9999.95","0.01"
"1150204","00740B","富邦全球投等債","39.34","+0.01","39.34","39.35","39.33","2092000","82300520","57","39.33","39.34","1783971000","9999.95","0.01"
"1150204","00741B","富邦全球非投等債","37.80","-0.10","37.62","37.80","37.62","111000","4194560","10","37.79","37.80","15628000","9999.95","0.01"
"1150204","00746B","富邦A級公司債","35.92","-0.02","35.95","35.95","35.91","561000","20159230","19","35.92","35.93","2361464000","9999.95","0.01"
"1150204","00749B","凱基新興債10+","31.73","-0.07","31.76","31.76","31.73","102000","3239490","4","31.73","31.75","1168500000","9999.95","0.01"
"1150204","00750B","凱基科技債10+","33.65","+0.02","33.65","33.65","33.65","100000","3365000","4","33.61","33.64","147500000","9999.95","0.01"
"1150204","00751B","元大AAA至A公司債","32.17","-0.01","32.18","32.21","32.15","5225000","168124600","444","32.17","32.18","4762603000","9999.95","0.01"
"1150204","00754B","群益AAA-AA公司債","34.27","0.00","34.27","34.27","34.26","146000","5002920","7","34.24","34.26","1057900000","9999.95","0.01"
"1150204","00755B","群益投資級公用債","33.38","-0.01","33.39","33.39","33.36","175000","5841190","12","33.38","33.39","275230000","9999.95","0.01"
"1150204","00756B","群益投等新興公債","31.99","0.00","32.01","32.02","31.96","196000","6271320","23","31.99","32.02","1426800000","9999.95","0.01"
"1150204","00758B","復華能源債","52.00","0.00","52.00","52.00","52.00","100000","5200000","2","51.90","52.10","5525000","9999.95","0.01"
"1150204","00759B","復華製藥債","55.55","0.00","55.55","55.55","55.55","100000","5555000","4","55.45","55.55","47525000","9999.95","0.01"
"1150204","00760B","復華新興企業債","55.30","-0.20","55.50","55.50","55.20","143000","7910650","16","55.25","55.30","458020000","9999.95","0.01"
"1150204","00761B","國泰A級公司債","35.16","0.00","35.17","35.17","35.15","146000","5133610","17","35.18","35.19","2737589000","9999.95","0.01"
"1150204","00764B","群益25年美債","28.20","+0.05","28.16","28.22","28.16","3976000","112117510","107","28.19","28.22","1387000000","9999.95","0.01"
"1150204","00768B","復華20年美債","51.60","+0.05","51.55","51.65","51.50","628000","32377100","49","51.60","51.65","685100000","9999.95","0.01"
"1150204","00772B","中信高評級公司債","34.18","-0.01","34.19","34.22","34.16","1370000","46826380","260","34.17","34.18","3494290000","9999.95","0.01"
"1150204","00773B","中信優先金融債","36.56","-0.02","36.58","36.60","36.56","368000","13465910","33","36.56","36.59","2603290000","9999.95","0.01"
"1150204","00777B","凱基AAA至A公司債","33.14","0.00","33.14","33.14","33.14","100000","3314000","2","33.09","33.14","1862150000","9999.95","0.01"
"1150204","00778B","凱基金融債20+","35.22","-0.02","35.22","35.22","35.22","100000","3522000","4","35.22","35.24","1551650000","9999.95","0.01"
"1150204","00779B","凱基美債25+","28.53","+0.07","28.56","28.56","28.52","315000","8986880","7","28.53","28.54","1162650000","9999.95","0.01"
"1150204","00780B","國泰A級金融債","38.07","-0.01","38.07","38.07","38.07","100000","3807000","2","38.04","38.05","266102000","9999.95","0.01"
"1150204","00781B","國泰A級科技債","29.32","-0.01","29.27","29.32","29.25","327000","9577460","14","29.29","29.32","8336000","9999.95","0.01"
"1150204","00782B","國泰A級公用債","30.96","+0.01","30.95","30.98","30.95","128000","3964800","13","30.96","30.98","17967000","9999.95","0.01"
"1150204","00785B","富邦金融投等債","35.53","-0.01","35.53","35.53","35.53","128000","4547840","8","35.52","35.53","1016966000","9999.95","0.01"
"1150204","00786B","元大10年IG銀行債","33.48","+0.03","33.44","33.54","33.44","33000","1104740","12","33.47","33.48","27066000","9999.95","0.01"
"1150204","00787B","元大10年IG醫療債","33.00","+0.01","33.00","33.00","32.99","68000","2243720","26","32.99","33.01","14806000","9999.95","0.01"
"1150204","00788B","元大10年IG電能債","30.28","-0.06","30.34","30.34","30.26","36000","1089900","20","30.28","30.29","31706000","9999.95","0.01"
"1150204","00789B","復華公司債A3","48.94","-0.05","49.00","49.00","48.94","105000","5139000","5","48.94","48.99","416100000","9999.95","0.01"
"1150204","00791B","復華信用債1-5","56.85","-0.05","56.85","56.85","56.85","100000","5685000","4","56.70","56.85","274600000","9999.95","0.01"
"1150204","00792B","群益A級公司債","32.25","+0.01","32.25","32.25","32.24","120000","3869500","5","32.23","32.24","2052615000","9999.95","0.01"
"1150204","00793B","群益AAA-A醫療債","31.29","+0.01","31.28","31.29","31.28","100000","3128500","4","31.25","31.29","4526000","9999.95","0.01"
"1150204","00795B","中信美國公債20年","27.36","+0.06","27.34","27.38","27.32","6995000","191317230","469","27.35","27.36","2123598000","9999.95","0.01"
"1150204","00799B","國泰A級醫療債","30.50","+0.01","30.49","30.50","30.47","262000","7988340","73","30.50","30.51","22536000","9999.95","0.01"
"1150204","00834B","第一金金融債10+","34.72","-0.02","34.72","34.72","34.72","100000","3472000","2","34.69","34.71","23198000","9999.95","0.01"
"1150204","00836B","永豐10年A公司債","29.24","+0.01","29.24","29.24","29.21","257000","7513620","8","29.21","29.23","481041000","9999.95","0.01"
"1150204","00840B","凱基IG精選15+","30.50","-0.03","30.50","30.50","30.50","100000","3050000","2","30.45","30.50","59431000","9999.95","0.01"
"1150204","00841B","凱基AAA-AA公司債","29.77","-0.01","29.77","29.77","29.77","100000","2977000","2","29.73","29.77","70440000","9999.95","0.01"
"1150204","00842B","台新美元銀行債","31.62","+0.09","31.60","31.62","31.60","136000","4300000","12","31.63","31.64","11767000","9999.95","0.01"
