資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1150317","00679B","元大美債20年","27.32","-0.11","27.44","27.46","27.31","30023000","821089760","2327","27.31","27.32","7865192000","9999.95","0.01"
"1150317","00687B","國泰20年美債","28.40","除息","28.51","28.51","28.39","22056000","627041940","2218","28.40","28.41","6007634927","9999.95","0.01"
"1150317","00687C","國泰20年美債+櫃U","9.41","+0.02","9.41","9.41","9.41","25000","235250","2","9.39","9.41","2012268","9999.95","0.01"
"1150317","00694B","富邦美債1-3","42.16","-0.21","42.19","42.25","42.16","867000","36589700","172","42.15","42.17","180576000","9999.95","0.01"
"1150317","00695B","富邦美債7-10","36.03","-0.13","36.07","36.07","36.00","344000","12395970","20","36.01","36.03","39186000","9999.95","0.01"
"1150317","00696B","富邦美債20年","29.74","-0.11","29.81","29.82","29.74","4940000","147024370","126","29.73","29.74","686681000","9999.95","0.01"
"1150317","00697B","元大美債7-10","36.62","-0.11","36.83","36.83","36.58","230000","8426830","88","36.62","36.63","66712000","9999.95","0.01"
"1150317","00719B","元大美債1-3","31.41","-0.16","31.55","31.55","31.39","3436000","108007240","485","31.41","31.42","520514000","9999.95","0.01"
"1150317","00720B","元大投資級公司債","32.98","-0.13","33.15","33.15","32.98","8496000","280539590","1767","32.98","32.99","4141609000","9999.95","0.01"
"1150317","00722B","群益投資級電信債","36.23","-0.12","36.32","36.33","36.22","1393000","50500320","232","36.22","36.23","1489739000","9999.95","0.01"
"1150317","00723B","群益投資級科技債","30.97","-0.13","31.06","31.06","30.93","156000","4829660","15","30.96","30.97","1516583000","9999.95","0.01"
"1150317","00724B","群益投資級金融債","33.87","-0.14","33.97","33.97","33.85","3920000","132830430","137","33.87","33.88","3063775000","9999.95","0.01"
"1150317","00725B","國泰投資級公司債","35.09","-0.13","35.19","35.20","35.09","6545000","229838110","964","35.09","35.10","3757706000","9999.95","0.01"
"1150317","00726B","國泰新興投等債","33.36","-0.22","33.54","33.54","33.34","196000","6543820","44","33.35","33.36","1193989000","9999.95","0.01"
"1150317","00727B","國泰優選非投等債","39.98","-0.13","40.03","40.03","39.98","117000","4677960","5","39.95","39.99","55189000","9999.95","0.01"
"1150317","00734B","台新JPM新興債","15.87","-0.05","15.92","15.92","15.87","2000","31790","2","15.87","15.92","26979000","9999.95","0.01"
"1150317","00740B","富邦全球投等債","38.51","除息","38.65","38.65","38.50","2133000","82169640","179","38.50","38.51","1978471000","9999.95","0.01"
