日期,股票代號,股票名稱,收盤價,月平均價
"1150303","0050","元大台灣50","78.75","79.55"
"1150303","0051","元大中型100","109.50","111.22"
"1150303","0052","富邦科技","46.81","47.35"
"1150303","0053","元大電子","173.95","176.12"
"1150303","0055","元大MSCI金融","33.91","33.95"
"1150303","0056","元大高股息","39.13","39.52"
"1150303","0057","富邦摩台","231.90","234.88"
"1150303","0061","元大寶滬深","23.87","23.90"
"1150303","006203","元大MSCI台灣","142.55","144.32"
"1150303","006204","永豐臺灣加權","175.50","177.97"
"1150303","006205","富邦上証","41.61","41.69"
"1150303","006206","元大上證50","37.83","37.88"
"1150303","006207","復華滬深","31.97","31.99"
"1150303","006208","富邦台50","182.40","184.38"
"1150303","00631L","元大台灣50正2","500.45","513.35"
"1150303","00632R","元大台灣50反1","13.88","13.71"
"1150303","00633L","富邦上証正2","47.29","46.84"
"1150303","00634R","富邦上証反1","3.24","3.26"
"1150303","00635U","期元大S&P黃金","56.80","56.73"
"1150303","00636","國泰中國A50","26.80","26.68"
"1150303","00636K","國泰中國A50+U","8.55","8.50"
"1150303","00637L","元大滬深300正2","19.42","19.23"
"1150303","00638R","元大滬深300反1","7.00","7.05"
"1150303","00639","富邦深100","15.57","15.60"
"1150303","00640L","富邦日本正2","95.05","97.35"
"1150303","00641R","富邦日本反1","4.10","4.05"
"1150303","00642U","期元大S&P石油","19.29","19.09"
"1150303","00643","群益深証中小","18.25","18.40"
"1150303","00643K","群益深証中小+R","3.99","4.01"
"1150303","00645","富邦日本","53.15","53.75"
"1150303","00646","元大S&P500","67.90","67.72"
"1150303","00647L","元大S&P500正2","114.35","113.97"
"1150303","00648R","元大S&P500反1","4.39","4.39"
"1150303","00650L","復華香港正2","17.74","17.83"
"1150303","00651R","復華香港反1","5.25","5.22"
"1150303","00652","富邦印度","35.27","35.41"
"1150303","00653L","富邦印度正2","50.90","51.48"
"1150303","00654R","富邦印度反1","6.69","6.63"
"1150303","00655L","國泰中國A50正2","32.71","32.40"
"1150303","00656R","國泰中國A50反1","6.18","6.23"
"1150303","00657","國泰日經225","66.50","67.28"
"1150303","00657K","國泰日經225+U","21.16","21.45"
"1150303","00660","元大歐洲50","43.56","44.02"
"1150303","00661","元大日經225","73.10","74.08"
"1150303","00662","富邦NASDAQ","100.50","100.20"
"1150303","00663L","國泰臺灣加權正2","65.60","67.15"
"1150303","00664R","國泰臺灣加權反1","2.24","2.23"
"1150303","00665L","富邦恒生國企正2","9.97","10.04"
"1150303","00666R","富邦恒生國企反1","9.10","9.05"
"1150303","00668","國泰美國道瓊","55.95","55.90"
"1150303","00668K","國泰美國道瓊+U","17.86","17.88"
"1150303","00669R","國泰美國道瓊反1","5.69","5.68"
"1150303","00670L","富邦NASDAQ正2","151.75","151.28"
"1150303","00671R","富邦NASDAQ反1","2.93","2.93"
"1150303","00673R","期元大S&P原油反1","22.07","22.32"
"1150303","00674R","期元大S&P黃金反1","4.63","4.63"
