日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150529,2026-05-29,上市,00400A,主動國泰動能高息,14.83,0.4300,14.82,14.84,14.68,49468303,730794312,7162,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,00401A,主動摩根台灣鑫收,13.67,0.2700,13.57,13.71,13.56,6660666,91000717,934,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,00403A,主動統一升級50,10.70,0.2300,10.75,10.77,10.62,466117885,4981120713,72147,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,0050,元大台灣50,105.40,4.9000,103.20,105.40,102.70,102355526,10636250508,80065,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,0051,元大中型100,141.90,4.3000,140.00,141.90,139.95,76016,10705225,841,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,0052,富邦科技,61.50,2.1000,60.95,61.60,60.55,33405675,2044710043,18839,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,0053,元大電子,241.20,7.3500,240.80,242.00,239.05,28911,6956849,566,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,0055,元大MSCI金融,35.09,0.2400,35.03,35.19,34.79,656462,22931664,472,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,0056,元大高股息,50.20,1.3700,49.69,50.25,49.50,58208526,2906715341,27853,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,0057,富邦摩台,309.60,10.0000,306.95,309.60,306.35,80566,24746981,144,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,0061,元大寶滬深,25.20,0.4500,24.98,25.28,24.98,728586,18333662,309,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,006203,元大MSCI台灣,190.05,7.3000,188.50,190.05,188.00,63679,12024483,159,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,006204,永豐臺灣加權,224.45,7.8000,222.95,224.45,222.95,63464,14233878,106,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,006205,富邦上証,41.09,0.4600,40.65,41.15,40.65,1416118,57893262,267,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,006206,元大上證50,36.68,0.5900,36.14,36.68,36.04,263290,9520484,103,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,006207,復華滬深,33.82,0.4700,33.59,33.82,33.50,255239,8586686,117,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,006208,富邦台50,241.25,8.1000,238.75,241.40,237.95,4423176,1061738414,9686,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,00625K,富邦上証+R,,0.0000,,,,,,,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,00631L,元大台灣50正2,36.94,2.4700,36.06,37.00,35.76,214462278,7814236474,58767,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,00632R,元大台灣50反1,10.35,-0.3800,10.47,10.53,10.33,169913997,1769912980,19345,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,00633L,富邦上証正2,54.35,2.0500,53.00,54.50,52.80,7015107,377283511,1018,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,00634R,富邦上証反1,3.01,-0.0600,3.04,3.04,3.00,1383539,4179620,56,TWSE_CSV,2026-05-29 21:02:36 +0800
1150529,2026-05-29,上市,00635U,期元大S&P黃金,47.10,1.3700,46.93,47.17,46.92,5411789,254455884,3096,TWSE_CSV,2026-05-29 21:02:36 +0800
