資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1150211","00679B","元大美債20年","27.58","+0.19","27.60","27.63","27.57","55307000","1526169540","5756","27.57","27.58","8172692000","9999.95","0.01"
"1150211","00687B","國泰20年美債","28.67","+0.17","28.72","28.73","28.66","47514000","1363686800","4416","28.66","28.67","6269634927","9999.95","0.01"
"1150211","00687C","國泰20年美債+櫃U","9.52","+0.10","9.52","9.52","9.52","25200","239904","4","9.53","9.54","2012268","9999.95","0.01"
"1150211","00694B","富邦美債1-3","41.59","-0.13","41.66","41.72","41.59","586000","24401780","57","41.58","41.59","179576000","9999.95","0.01"
"1150211","00695B","富邦美債7-10","35.60","-0.01","35.67","35.73","35.60","844000","30084200","82","35.59","35.60","40186000","9999.95","0.01"
"1150211","00696B","富邦美債20年","29.72","+0.20","29.76","29.78","29.72","5827000","173364550","234","29.71","29.72","771681000","9999.95","0.01"
"1150211","00697B","元大美債7-10","36.21","0.00","36.21","36.31","36.21","669000","24247880","152","36.20","36.21","67712000","9999.95","0.01"
"1150211","00719B","元大美債1-3","31.05","-0.07","31.12","31.13","31.04","3057000","94986920","738","31.04","31.05","526514000","9999.95","0.01"
"1150211","00720B","元大投資級公司債","33.58","+0.05","33.67","33.68","33.58","5170000","173864910","930","33.58","33.59","4251609000","9999.95","0.01"
"1150211","00722B","群益投資級電信債","36.69","+0.08","36.76","36.78","36.69","4560000","167410640","170","36.68","36.69","1489739000","9999.95","0.01"
"1150211","00723B","群益投資級科技債","31.44","+0.02","31.48","31.49","31.44","157000","4940970","9","31.44","31.45","1516583000","9999.95","0.01"
"1150211","00724B","群益投資級金融債","34.58","+0.03","34.61","34.66","34.57","4135000","143052490","153","34.57","34.58","3090275000","9999.95","0.01"
"1150211","00725B","國泰投資級公司債","35.63","+0.01","35.68","35.73","35.63","8760000","312494010","882","35.62","35.63","3773706000","9999.95","0.01"
"1150211","00726B","國泰新興投等債","33.47","+0.03","33.44","33.53","33.44","294000","9842570","61","33.46","33.47","1196989000","9999.95","0.01"
"1150211","00727B","國泰優選非投等債","39.90","+0.02","39.86","39.94","39.86","118000","4708500","10","39.86","39.88","55189000","9999.95","0.01"
"1150211","00734B","台新JPM新興債","15.97","+0.06","16.00","16.00","15.97","101000","1613000","4","15.93","15.96","26979000","9999.95","0.01"
"1150211","00740B","富邦全球投等債","39.45","0.00","39.49","39.55","39.45","1387000","54771390","80","39.46","39.47","1916471000","9999.95","0.01"
"1150211","00741B","富邦全球非投等債","37.70","-0.14","37.61","37.77","37.61","155000","5848570","29","37.70","37.73","15628000","9999.95","0.01"
"1150211","00746B","富邦A級公司債","36.14","+0.04","36.18","36.22","36.14","489000","17686610","16","36.13","36.14","2417464000","9999.95","0.01"
"1150211","00749B","凱基新興債10+","32.14","+0.09","32.11","32.14","32.11","102000","3278220","3","32.09","32.12","1168500000","9999.95","0.01"
"1150211","00750B","凱基科技債10+","33.73","+0.05","33.78","33.78","33.73","110000","3710800","6","33.68","33.69","147500000","9999.95","0.01"
"1150211","00751B","元大AAA至A公司債","32.37","+0.07","32.43","32.45","32.37","10509000","340529440","1080","32.37","32.38","4743603000","9999.95","0.01"
"1150211","00754B","群益AAA-AA公司債","34.42","+0.10","34.49","34.51","34.42","129000","4444850","19","34.40","34.45","1145900000","9999.95","0.01"
"1150211","00755B","群益投資級公用債","33.68","+0.08","33.74","33.74","33.68","216000","7279960","21","33.66","33.68","275230000","9999.95","0.01"
"1150211","00756B","群益投等新興公債","32.30","+0.01","32.32","32.41","32.30","203000","6568190","40","32.30","32.34","1426800000","9999.95","0.01"
"1150211","00758B","復華能源債","52.50","+0.05","52.50","52.50","52.50","100000","5250000","2","52.35","52.65","5525000","9999.95","0.01"
