日期,股票代號,股票名稱,收盤價,月平均價
"1150519","00400A","主動國泰動能高息","12.70","13.62"
"1150519","00401A","主動摩根台灣鑫收","12.15","12.59"
"1150519","00403A","主動統一升級50","9.72","10.13"
"1150519","0050","元大台灣50","93.10","95.70"
"1150519","0051","元大中型100","127.75","131.10"
"1150519","0052","富邦科技","54.80","56.23"
"1150519","0053","元大電子","212.25","220.65"
"1150519","0055","元大MSCI金融","33.91","33.74"
"1150519","0056","元大高股息","44.01","44.38"
"1150519","0057","富邦摩台","276.95","285.80"
"1150519","0061","元大寶滬深","24.65","24.96"
"1150519","006203","元大MSCI台灣","168.70","174.39"
"1150519","006204","永豐臺灣加權","201.00","205.81"
"1150519","006205","富邦上証","40.92","41.47"
"1150519","006206","元大上證50","36.77","37.66"
"1150519","006207","復華滬深","32.99","33.47"
"1150519","006208","富邦台50","215.65","221.67"
"1150519","00625K","富邦上証+R","","9.01"
"1150519","00631L","元大台灣50正2","29.93","31.72"
"1150519","00632R","元大台灣50反1","11.66","11.34"
"1150519","00633L","富邦上証正2","50.90","52.82"
"1150519","00634R","富邦上証反1","3.12","3.06"
"1150519","00635U","期元大S&P黃金","47.55","48.62"
"1150519","00636","國泰中國A50","28.23","28.66"
"1150519","00636K","國泰中國A50+U","8.98","9.10"
"1150519","00637L","元大滬深300正2","21.03","21.79"
"1150519","00638R","元大滬深300反1","6.67","6.54"
"1150519","00639","富邦深100","17.57","17.71"
"1150519","00640L","富邦日本正2","97.05","96.20"
"1150519","00641R","富邦日本反1","3.95","3.97"
"1150519","00642U","期元大S&P石油","32.59","30.69"
"1150519","00643","群益深証中小","20.12","20.29"
"1150519","00643K","群益深証中小+R","","4.36"
"1150519","00645","富邦日本","54.10","53.86"
"1150519","00646","元大S&P500","73.40","72.95"
"1150519","00647L","元大S&P500正2","131.00","130.02"
"1150519","00648R","元大S&P500反1","4.06","4.07"
"1150519","00650L","復華香港正2","17.33","17.85"
"1150519","00651R","復華香港反1","5.23","5.13"
"1150519","00652","富邦印度","32.32","32.58"
"1150519","00653L","富邦印度正2","45.46","45.93"
"1150519","00654R","富邦印度反1","6.86","6.82"
"1150519","00655L","國泰中國A50正2","35.47","36.80"
"1150519","00656R","國泰中國A50反1","5.91","5.78"
"1150519","00657","國泰日經225","71.15","72.75"
"1150519","00657K","國泰日經225+U","22.48","23.03"
"1150519","00660","元大歐洲50","42.55","42.72"
"1150519","00661","元大日經225","78.15","79.75"
"1150519","00662","富邦NASDAQ","117.20","116.57"
"1150519","00663L","國泰臺灣加權正2","85.95","90.97"
"1150519","00664R","國泰臺灣加權反1","1.88","1.83"
"1150519","00665L","富邦恒生國企正2","9.78","10.14"
"1150519","00666R","富邦恒生國企反1","9.05","8.87"
"1150519","00668","國泰美國道瓊","57.15","56.96"
"1150519","00668K","國泰美國道瓊+U","18.14","18.11"
"1150519","00669R","國泰美國道瓊反1","5.55","5.54"
"1150519","00670L","富邦NASDAQ正2","200.00","199.22"
"1150519","00671R","富邦NASDAQ反1","2.51","2.51"
"1150519","00673R","期元大S&P原油反1","11.28","12.00"
"1150519","00674R","期元大S&P黃金反1","27.23","26.64"
"1150519","00675L","富邦臺灣加權正2","259.70","275.32"
"1150519","00676R","富邦臺灣加權反1","6.42","6.25"
"1150519","00678","群益那斯達克生技","34.74","35.72"
"1150519","00680L","元大美債20正2","6.59","6.83"
"1150519","00681R","元大美債20反1","21.58","21.19"
"1150519","00682U","期元大美元指數","20.40","20.20"
"1150519","00683L","期元大美元指正2","21.24","20.91"
"1150519","00684R","期元大美元指反1","","15.39"
"1150519","00685L","群益臺灣加權正2","235.00","248.70"
"1150519","00686R","群益臺灣加權反1","1.16","1.12"
"1150519","00688L","國泰20年美債正2","6.55","6.82"
"1150519","00689R","國泰20年美債反1","22.53","22.09"
"1150519","00690","兆豐藍籌30","68.65","72.47"
"1150519","00692","富邦公司治理","81.20","83.49"
"1150519","00693U","期街口S&P黃豆","22.59","22.45"
"1150519","00700","富邦恒生國企","17.31","17.64"
"1150519","00701","國泰股利精選30","32.14","31.41"
"1150519","00702","國泰標普低波高息","23.84","23.80"
"1150519","00703","台新MSCI中國","20.07","20.43"
"1150519","00706L","期元大S&P日圓正2","19.32","19.70"
"1150519","00707R","期元大S&P日圓反1","","31.58"
"1150519","00708L","期元大S&P黃金正2","90.55","95.07"
"1150519","00709","富邦歐洲","37.94","38.13"
"1150519","00710B","復華彭博非投等債","18.87","18.87"
"1150519","00711B","復華彭博新興債","15.78","15.99"
"1150519","00712","復華富時不動產","8.77","8.97"
"1150519","00713","元大台灣高息低波","55.30","54.63"
"1150519","00714","群益道瓊美國地產","21.30","21.41"
"1150519","00715L","期街口布蘭特正2","68.20","64.90"
"1150519","00717","富邦美國特別股","14.98","15.11"
"1150519","00728","第一金工業30","56.55","57.44"
"1150519","00730","富邦臺灣優質高息","26.10","26.31"
"1150519","00731","復華富時高息低波","75.15","74.44"
"1150519","00733","富邦臺灣中小","66.30","66.83"
"1150519","00735","國泰臺韓科技","94.05","96.47"
"1150519","00736","國泰新興市場","29.85","30.50"
"1150519","00737","國泰AI機器人","36.72","36.72"
"1150519","00738U","期元大道瓊白銀","61.45","64.21"
"1150519","00739","元大MSCI A股","28.58","28.98"
"1150519","00752","中信中國50","23.86","24.13"
"1150519","00753L","中信中國50正2","10.25","10.68"
"1150519","00757","統一FANG+","126.60","126.18"
"1150519","00762","元大全球AI","106.80","107.87"
"1150519","00763U","期街口道瓊銅","33.56","33.61"
"1150519","00770","國泰北美科技","63.35","63.05"
"1150519","00771","元大US高息特別股","16.07","16.08"
"1150519","00775B","新光投等債15+","","32.27"
"1150519","00783","富邦中証500","29.89","30.17"
"1150519","00830","國泰費城半導體","78.35","80.15"
"1150519","00850","元大臺灣ESG永續","78.85","81.21"
"1150519","00851","台新全球AI","63.50","63.50"
"1150519","00852L","國泰美國道瓊正2","31.39","31.36"
"1150519","00861","元大全球未來通訊","81.55","82.03"
"1150519","00865B","國泰US短期公債","48.07","47.87"
"1150519","00875","國泰網路資安","44.19","42.62"
"1150519","00876","元大全球5G","80.25","82.50"
"1150519","00878","國泰永續高股息","27.00","27.58"
"1150519","00881","國泰台灣科技龍頭","48.00","49.81"
"1150519","00882","中信中國高股息","15.98","16.02"
"1150519","00885","富邦越南","19.32","19.20"
"1150519","00891","中信關鍵半導體","31.30","33.90"
"1150519","00892","富邦台灣半導體","39.88","41.62"
"1150519","00893","國泰智能電動車","43.65","44.09"
"1150519","00894","中信小資高價30","44.21","46.85"
"1150519","00895","富邦未來車","48.68","48.74"
"1150519","00896","中信綠能及電動車","25.44","26.36"
"1150519","00897","富邦基因免疫生技","9.43","9.74"
"1150519","00898","國泰基因免疫革命","7.80","8.05"
"1150519","00899","FT潔淨能源","27.17","26.87"
"1150519","00900","富邦特選高股息30","16.48","16.67"
"1150519","00901","永豐智能車供應鏈","39.42","41.07"
"1150519","00902","中信電池及儲能","15.99","16.97"
"1150519","00903","富邦元宇宙","21.24","20.65"
"1150519","00904","新光臺灣半導體30","36.85","38.35"
