日期,股票代號,股票名稱,收盤價,月平均價
"1150126","0050","元大台灣50","72.25","70.85"
"1150126","0051","元大中型100","104.45","98.72"
"1150126","0052","富邦科技","42.85","41.44"
"1150126","0053","元大電子","159.70","153.36"
"1150126","0055","元大MSCI金融","32.38","32.09"
"1150126","0056","元大高股息","38.23","37.78"
"1150126","0057","富邦摩台","214.05","206.91"
"1150126","0061","元大寶滬深","23.63","23.76"
"1150126","006203","元大MSCI台灣","131.30","128.11"
"1150126","006204","永豐臺灣加權","163.80","157.34"
"1150126","006205","富邦上証","40.96","40.97"
"1150126","006206","元大上證50","37.69","38.16"
"1150126","006207","復華滬深","31.53","31.65"
"1150126","006208","富邦台50","167.30","161.93"
"1150126","00625K","富邦上証+R","","9.14"
"1150126","00631L","元大台灣50正2","441.45","415.20"
"1150126","00632R","元大台灣50反1","14.88","15.37"
"1150126","00633L","富邦上証正2","47.96","50.16"
"1150126","00634R","富邦上証反1","3.26","3.20"
"1150126","00635U","期元大S&P黃金","54.05","49.51"
"1150126","00636","國泰中國A50","26.56","27.26"
"1150126","00636K","國泰中國A50+U","8.47","8.67"
"1150126","00637L","元大滬深300正2","19.64","20.63"
"1150126","00638R","元大滬深300反1","6.99","6.86"
"1150126","00639","富邦深100","15.39","15.55"
"1150126","00640L","富邦日本正2","84.10","85.26"
"1150126","00641R","富邦日本反1","4.37","4.35"
"1150126","00642U","期元大S&P石油","16.05","15.49"
"1150126","00643","群益深証中小","18.06","18.05"
"1150126","00643K","群益深証中小+R","4.05","4.00"
"1150126","00645","富邦日本","49.81","50.10"
"1150126","00646","元大S&P500","68.05","68.47"
"1150126","00647L","元大S&P500正2","117.20","118.30"
"1150126","00648R","元大S&P500反1","4.33","4.34"
"1150126","00650L","復華香港正2","18.84","18.79"
"1150126","00651R","復華香港反1","5.11","5.14"
"1150126","00652","富邦印度","36.21","36.93"
"1150126","00653L","富邦印度正2","54.20","56.45"
"1150126","00654R","富邦印度反1","6.56","6.36"
"1150126","00655L","國泰中國A50正2","33.12","34.82"
"1150126","00656R","國泰中國A50反1","6.20","6.07"
"1150126","00657","國泰日經225","62.30","62.18"
"1150126","00657K","國泰日經225+U","19.70","19.66"
"1150126","00660","元大歐洲50","43.57","43.23"
"1150126","00661","元大日經225","68.25","68.15"
"1150126","00662","富邦NASDAQ","103.00","103.30"
"1150126","00663L","國泰臺灣加權正2","57.60","54.19"
"1150126","00664R","國泰臺灣加權反1","2.40","2.49"
"1150126","00665L","富邦恒生國企正2","11.18","11.33"
"1150126","00666R","富邦恒生國企反1","8.65","8.63"
"1150126","00668","國泰美國道瓊","56.15","56.51"
"1150126","00668K","國泰美國道瓊+U","17.92","17.92"
"1150126","00669R","國泰美國道瓊反1","5.61","5.62"
"1150126","00670L","富邦NASDAQ正2","163.05","163.19"
"1150126","00671R","富邦NASDAQ反1","2.84","2.84"
"1150126","00673R","期元大S&P原油反1","26.60","27.70"
"1150126","00674R","期元大S&P黃金反1","5.03","5.51"
"1150126","00675L","富邦臺灣加權正2","175.20","164.71"
"1150126","00676R","富邦臺灣加權反1","8.19","8.45"
"1150126","00678","群益那斯達克生技","35.94","35.42"
"1150126","00680L","元大美債20正2","7.28","7.22"
"1150126","00681R","元大美債20反1","20.66","20.82"
"1150126","00682U","期元大美元指數","19.92","20.27"
