資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1150410","00679B","元大美債20年","27.23","-0.12","27.29","27.29","27.23","30495000","831250590","2558","27.23","27.24","7631692000","9999.95","0.01"
"1150410","00687B","國泰20年美債","28.29","-0.12","28.34","28.36","28.28","11429000","323548220","1642","28.29","28.30","5851134927","9999.95","0.01"
"1150410","00687C","國泰20年美債+櫃U","9.41","0.00","9.41","9.41","9.41","300","2823","2","9.39","9.40","2012268","9999.95","0.01"
"1150410","00694B","富邦美債1-3","42.03","-0.05","42.00","42.03","42.00","380000","15966610","29","42.03","42.04","176576000","9999.95","0.01"
"1150410","00695B","富邦美債7-10","35.81","-0.05","35.78","35.85","35.78","83000","2972570","15","35.80","35.82","39686000","9999.95","0.01"
"1150410","00696B","富邦美債20年","29.63","-0.09","29.70","29.70","29.63","2284000","67719010","99","29.62","29.63","667681000","9999.95","0.01"
"1150410","00697B","元大美債7-10","36.06","-0.05","36.16","36.16","36.05","370000","13346320","118","36.06","36.07","66712000","9999.95","0.01"
"1150410","00719B","元大美債1-3","31.39","+0.02","31.37","31.39","31.32","2613000","81912220","483","31.38","31.39","517014000","9999.95","0.01"
"1150410","00720B","元大投資級公司債","33.66","0.00","33.66","33.68","33.62","3256000","109566210","689","33.65","33.66","4066609000","9999.95","0.01"
"1150410","00722B","群益投資級電信債","36.80","-0.05","36.75","36.87","36.75","1611000","59305250","127","36.79","36.80","1478239000","9999.95","0.01"
"1150410","00723B","群益投資級科技債","31.37","-0.09","31.37","31.37","31.37","102000","3199740","5","31.36","31.37","1518083000","9999.95","0.01"
"1150410","00724B","群益投資級金融債","34.34","+0.01","34.29","34.38","34.29","3611000","124039500","107","34.33","34.34","3075275000","9999.95","0.01"
"1150410","00725B","國泰投資級公司債","35.70","-0.05","35.68","35.74","35.68","5000000","178457200","449","35.70","35.71","3760206000","9999.95","0.01"
"1150410","00726B","國泰新興投等債","33.33","-0.01","33.29","33.33","33.29","134000","4464900","14","33.33","33.34","1198989000","9999.95","0.01"
"1150410","00727B","國泰優選非投等債","40.29","-0.11","40.38","40.38","40.29","113000","4553070","9","40.29","40.30","57189000","9999.95","0.01"
"1150410","00734B","台新JPM新興債","15.94","0.00","15.94","15.94","15.94","108000","1721520","8","15.94","15.95","26979000","9999.95","0.01"
"1150410","00740B","富邦全球投等債","39.10","-0.05","39.04","39.14","39.04","5880000","229831370","280","39.10","39.11","2029471000","9999.95","0.01"
"1150410","00741B","富邦全球非投等債","37.80","-0.12","37.83","37.85","37.80","140000","5296880","18","37.79","37.80","14628000","9999.95","0.01"
"1150410","00746B","富邦A級公司債","36.25","0.00","36.23","36.26","36.23","882000","31968640","24","36.22","36.25","2387964000","9999.95","0.01"
"1150410","00749B","凱基新興債10+","32.11","-0.01","32.12","32.12","32.11","104000","3340440","5","32.12","32.14","1098500000","9999.95","0.01"
