日期,股票代號,股票名稱,收盤價,月平均價
"1150324","0050","元大台灣50","74.40","76.42"
"1150324","0051","元大中型100","107.15","108.66"
"1150324","0052","富邦科技","44.13","45.45"
"1150324","0053","元大電子","166.75","169.84"
"1150324","0055","元大MSCI金融","32.15","32.60"
"1150324","0056","元大高股息","38.04","38.59"
"1150324","0057","富邦摩台","222.85","225.96"
"1150324","0061","元大寶滬深","22.60","23.54"
"1150324","006203","元大MSCI台灣","135.20","138.39"
"1150324","006204","永豐臺灣加權","167.70","171.41"
"1150324","006205","富邦上証","38.54","40.61"
"1150324","006206","元大上證50","35.59","37.09"
"1150324","006207","復華滬深","30.28","31.55"
"1150324","006208","富邦台50","172.75","177.21"
"1150324","00625K","富邦上証+R","8.36","8.60"
"1150324","00631L","元大台灣50正2","443.15","470.91"
"1150324","00632R","元大台灣50反1","14.51","14.17"
"1150324","00633L","富邦上証正2","43.78","46.23"
"1150324","00634R","富邦上証反1","3.40","3.30"
"1150324","00635U","期元大S&P黃金","45.99","53.10"
"1150324","00636","國泰中國A50","26.25","26.70"
"1150324","00636K","國泰中國A50+U","8.27","8.45"
"1150324","00637L","元大滬深300正2","18.17","19.08"
"1150324","00638R","元大滬深300反1","7.30","7.12"
"1150324","00639","富邦深100","15.23","15.64"
"1150324","00640L","富邦日本正2","81.45","87.64"
"1150324","00641R","富邦日本反1","4.39","4.24"
"1150324","00642U","期元大S&P石油","24.98","23.90"
"1150324","00643","群益深証中小","17.17","18.18"
"1150324","00643K","群益深証中小+R","3.76","3.92"
"1150324","00645","富邦日本","49.43","51.10"
"1150324","00646","元大S&P500","65.80","67.18"
"1150324","00647L","元大S&P500正2","105.35","110.78"
"1150324","00648R","元大S&P500反1","4.61","4.48"
"1150324","00650L","復華香港正2","16.12","17.20"
"1150324","00651R","復華香港反1","5.52","5.34"
"1150324","00652","富邦印度","32.08","34.01"
"1150324","00653L","富邦印度正2","42.50","47.37"
"1150324","00654R","富邦印度反1","7.28","6.92"
"1150324","00655L","國泰中國A50正2","30.48","32.07"
"1150324","00656R","國泰中國A50反1","6.47","6.30"
"1150324","00657","國泰日經225","61.25","63.87"
"1150324","00657K","國泰日經225+U","19.10","20.09"
"1150324","00660","元大歐洲50","39.98","42.05"
"1150324","00661","元大日經225","66.80","70.04"
"1150324","00662","富邦NASDAQ","98.60","100.54"
"1150324","00663L","國泰臺灣加權正2","57.80","61.55"
"1150324","00664R","國泰臺灣加權反1","2.35","2.29"
"1150324","00665L","富邦恒生國企正2","9.27","9.82"
"1150324","00666R","富邦恒生國企反1","9.43","9.17"
"1150324","00668","國泰美國道瓊","53.70","54.87"
"1150324","00668K","國泰美國道瓊+U","16.88","17.29"
"1150324","00669R","國泰美國道瓊反1","6.02","5.85"
"1150324","00670L","富邦NASDAQ正2","141.20","149.18"
"1150324","00671R","富邦NASDAQ反1","3.03","2.95"
"1150324","00673R","期元大S&P原油反1","18.60","19.46"
"1150324","00674R","期元大S&P黃金反1","5.71","4.98"
"1150324","00675L","富邦臺灣加權正2","175.35","186.74"
"1150324","00676R","富邦臺灣加權反1","7.98","7.79"
"1150324","00678","群益那斯達克生技","34.47","35.59"
"1150324","00680L","元大美債20正2","7.02","7.31"
"1150324","00681R","元大美債20反1","21.12","20.70"
"1150324","00682U","期元大美元指數","20.44","20.44"
"1150324","00683L","期元大美元指正2","21.36","21.28"
"1150324","00684R","期元大美元指反1","15.29","15.33"
"1150324","00685L","群益臺灣加權正2","157.75","168.01"
"1150324","00686R","群益臺灣加權反1","1.42","1.40"
"1150324","00688L","國泰20年美債正2","6.99","7.29"
"1150324","00689R","國泰20年美債反1","22.11","21.58"
"1150324","00690","兆豐藍籌30","51.60","52.22"
"1150324","00692","富邦公司治理","65.50","67.17"
"1150324","00693U","期街口S&P黃豆","21.99","22.30"
"1150324","00700","富邦恒生國企","17.06","17.53"
"1150324","00701","國泰股利精選30","28.54","28.95"
"1150324","00702","國泰標普低波高息","23.50","24.14"
"1150324","00703","台新MSCI中國","20.00","20.56"
"1150324","00706L","期元大S&P日圓正2","19.65","19.78"
"1150324","00707R","期元大S&P日圓反1","","31.82"
"1150324","00708L","期元大S&P黃金正2","85.20","114.95"
"1150324","00709","富邦歐洲","35.55","37.43"
"1150324","00710B","復華彭博非投等債","18.81","19.01"
"1150324","00711B","復華彭博新興債","15.79","16.33"
"1150324","00712","復華富時不動產","8.48","9.01"
"1150324","00713","元大台灣高息低波","51.35","52.25"
"1150324","00714","群益道瓊美國地產","20.48","21.00"
"1150324","00715L","期街口布蘭特正2","54.00","48.31"
"1150324","00717","富邦美國特別股","14.78","15.00"
"1150324","00728","第一金工業30","43.81","44.11"
"1150324","00730","富邦臺灣優質高息","22.88","22.87"
"1150324","00731","復華富時高息低波","69.60","71.43"
"1150324","00733","富邦臺灣中小","53.75","55.34"
"1150324","00735","國泰臺韓科技","66.65","68.18"
"1150324","00736","國泰新興市場","27.51","28.58"
"1150324","00737","國泰AI機器人","33.11","33.94"
"1150324","00738U","期元大道瓊白銀","54.25","66.62"
"1150324","00739","元大MSCI A股","26.04","27.34"
"1150324","00752","中信中國50","23.62","24.48"
"1150324","00753L","中信中國50正2","9.94","10.85"
"1150324","00757","統一FANG+","107.85","110.01"
"1150324","00762","元大全球AI","81.45","82.28"
"1150324","00763U","期街口道瓊銅","29.23","31.30"
"1150324","00770","國泰北美科技","51.00","51.51"
"1150324","00771","元大US高息特別股","16.00","16.17"
"1150324","00775B","新光投等債15+","32.26","32.53"
"1150324","00783","富邦中証500","26.41","28.54"
"1150324","00830","國泰費城半導體","54.25","54.96"
"1150324","00850","元大臺灣ESG永續","61.75","63.00"
"1150324","00851","台新全球AI","55.95","56.68"
"1150324","00852L","國泰美國道瓊正2","27.56","29.13"
"1150324","00861","元大全球未來通訊","64.35","64.86"
"1150324","00865B","國泰US短期公債","48.54","48.04"
"1150324","00875","國泰網路資安","38.81","38.11"
"1150324","00876","元大全球5G","61.45","62.52"
"1150324","00878","國泰永續高股息","22.08","22.41"
"1150324","00881","國泰台灣科技龍頭","36.12","36.59"
"1150324","00882","中信中國高股息","15.54","15.99"
"1150324","00885","富邦越南","16.61","17.72"
"1150324","00891","中信關鍵半導體","23.91","24.05"
