日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150904,2026-09-04,上市,00400A,主動國泰動能高息,15.17,0.2900,15.26,15.27,14.89,40663000,613016440,5257,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00401A,主動摩根台灣鑫收,14.13,0.1700,14.20,14.20,13.95,5602000,78904090,612,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00402A,主動安聯美國科技,9.51,0.1600,9.42,9.52,9.42,1822000,17250030,422,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00403A,主動統一升級50,10.26,0.2000,10.24,10.30,10.06,134125000,1368694830,15234,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00404A,主動聯博動能50,9.86,0.1600,9.84,9.89,9.76,11580000,113723900,1304,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00405A,主動富邦台灣龍耀,8.68,0.1100,8.77,8.80,8.54,38397000,332695460,3962,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00406A,主動中信台灣收益,9.57,0.1100,9.61,9.65,9.43,124923000,1190074260,17190,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00407A,主動凱基台灣,9.73,0.1700,9.71,9.82,9.51,28756000,278202170,2706,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00408A,主動第一金優股息,10.53,0.1800,10.50,10.56,10.38,3069000,32137770,174,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00409A,主動復華全球50,9.90,0.3100,9.77,9.92,9.73,55821000,548523210,4437,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00410A,主動永豐科技趨勢,12.18,0.3400,12.16,12.19,11.75,10165000,121939560,1196,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,0050,元大台灣50,107.90,1.7000,107.70,108.00,106.85,43903000,4716864600,17329,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,0051,元大中型100,145.95,1.9500,144.55,145.95,144.00,30000,4342150,24,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,0052,富邦科技,62.70,1.1000,62.45,62.75,61.95,10549000,657682950,3811,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,0053,元大電子,243.65,3.9500,242.30,243.65,241.30,19000,4620900,9,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,0055,元大MSCI金融,49.00,0.8000,48.20,49.00,48.13,945000,45910130,309,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,0056,元大高股息,55.40,0.9000,55.15,55.50,54.70,22048000,1215280500,7329,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,0057,富邦摩台,321.60,3.8500,320.55,321.60,320.55,28000,8998000,5,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,0061,元大寶滬深,24.36,0.3100,24.19,24.39,24.19,146000,3550770,52,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,006203,元大MSCI台灣,195.80,2.0500,194.10,195.80,194.10,7000,1364600,7,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,006204,永豐臺灣加權,232.25,1.4500,232.25,232.25,232.25,1000,232250,1,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,006205,富邦上証,40.78,0.2800,40.52,40.91,40.52,366000,14928650,47,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,006206,元大上證50,38.13,0.3900,38.11,38.30,38.10,113000,4314790,27,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,006207,復華滬深,32.34,0.3200,32.27,32.34,32.23,115000,3711530,10,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,006208,富邦台50,247.25,3.4500,246.40,247.50,245.00,1317000,324338100,806,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00625K,富邦上証+R,,0.0000,,,,,,,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00631L,元大台灣50正2,36.64,1.2300,36.46,36.70,35.80,147699000,5359304170,30071,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00632R,元大台灣50反1,9.81,-0.1900,9.83,9.93,9.79,111471000,1098177050,11185,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00633L,富邦上証正2,48.87,1.2200,48.30,49.20,48.19,1387000,67769720,416,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00634R,富邦上証反1,3.11,-0.0400,3.13,3.13,3.10,24000,74600,12,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00635U,期元大S&P黃金,46.21,0.4500,46.24,46.28,46.13,2867000,132454550,1160,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00636,國泰中國A50,27.75,0.3700,27.38,27.78,27.38,242000,6701210,57,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00636K,國泰中國A50+U,8.74,0.0400,8.74,8.74,8.74,200,1748,2,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00637L,元大滬深300正2,20.12,0.5100,19.81,20.25,19.81,16098000,323140970,2998,TWSE_CSV,2026-09-04 14:16:42 +0800
1150904,2026-09-04,上市,00638R,元大滬深300反1,6.64,-0.0800,6.70,6.70,6.60,45000,298170,12,TWSE_CSV,2026-09-04 14:16:42 +0800
