資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1150225","00679B","元大美債20年","27.84","-0.06","27.95","27.97","27.83","31693000","883584490","4433","27.84","27.85","8057192000","9999.95","0.01"
"1150225","00687B","國泰20年美債","28.95","-0.05","29.07","29.07","28.93","36946000","1070619240","3570","28.94","28.95","6137134927","9999.95","0.01"
"1150225","00687C","國泰20年美債+櫃U","9.66","+0.02","9.66","9.66","9.66","400","3864","2","9.66","9.67","2012268","9999.95","0.01"
"1150225","00694B","富邦美債1-3","41.50","-0.18","41.66","41.66","41.49","829000","34419490","69","41.49","41.50","180076000","9999.95","0.01"
"1150225","00695B","富邦美債7-10","35.79","-0.18","35.89","35.90","35.79","698000","25001620","32","35.78","35.79","40686000","9999.95","0.01"
"1150225","00696B","富邦美債20年","30.02","-0.08","30.14","30.14","30.00","2265000","68042570","195","30.00","30.02","713181000","9999.95","0.01"
"1150225","00697B","元大美債7-10","36.36","-0.15","36.51","36.51","36.36","1012000","36836030","239","36.36","36.37","66712000","9999.95","0.01"
"1150225","00719B","元大美債1-3","30.95","-0.12","31.07","31.07","30.94","4161000","128912840","1330","30.94","30.95","529514000","9999.95","0.01"
"1150225","00720B","元大投資級公司債","33.70","-0.10","33.77","33.84","33.69","9639000","325196170","1496","33.70","33.71","4234109000","9999.95","0.01"
"1150225","00722B","群益投資級電信債","36.93","-0.11","37.05","37.15","36.93","3523000","130325660","483","36.93","36.94","1488739000","9999.95","0.01"
"1150225","00723B","群益投資級科技債","31.48","-0.11","31.55","31.55","31.48","115000","3622040","8","31.46","31.47","1516583000","9999.95","0.01"
"1150225","00724B","群益投資級金融債","34.65","-0.13","34.74","34.76","34.63","3572000","123828040","103","34.65","34.66","3091775000","9999.95","0.01"
"1150225","00725B","國泰投資級公司債","35.70","-0.15","35.85","35.88","35.69","4992000","178420820","917","35.69","35.70","3772206000","9999.95","0.01"
"1150225","00726B","國泰新興投等債","33.66","-0.08","33.74","33.74","33.64","161000","5420440","53","33.65","33.66","1192989000","9999.95","0.01"
"1150225","00727B","國泰優選非投等債","39.60","-0.19","39.70","39.70","39.60","129000","5111150","19","39.57","39.58","55189000","9999.95","0.01"
"1150225","00734B","台新JPM新興債","15.99","-0.03","15.99","15.99","15.99","100000","1599000","2","15.98","16.00","26979000","9999.95","0.01"
"1150225","00740B","富邦全球投等債","39.37","除息","39.55","39.55","39.36","1022000","40291370","127","39.37","39.38","1926971000","9999.95","0.01"
"1150225","00741B","富邦全球非投等債","37.33","除息","37.55","37.55","37.29","233000","8704670","33","37.32","37.33","15628000","9999.95","0.01"
"1150225","00746B","富邦A級公司債","36.28","-0.15","36.43","36.43","36.24","322000","11688050","21","36.25","36.27","2417964000","9999.95","0.01"
"1150225","00749B","凱基新興債10+","32.34","-0.16","32.34","32.34","32.34","100000","3234000","4","32.28","32.32","1168500000","9999.95","0.01"
"1150225","00750B","凱基科技債10+","33.77","-0.14","33.77","33.77","33.77","100000","3377000","4","33.69","33.74","147500000","9999.95","0.01"
"1150225","00751B","元大AAA至A公司債","32.52","-0.10","32.64","32.68","32.51","8690000","282984390","1113","32.52","32.53","4734103000","9999.95","0.01"
"1150225","00754B","群益AAA-AA公司債","34.66","-0.11","34.76","34.76","34.66","233000","8079710","21","34.61","34.68","1145900000","9999.95","0.01"
"1150225","00755B","群益投資級公用債","33.80","-0.17","33.97","33.97","33.80","128000","4329750","19","33.79","33.82","274730000","9999.95","0.01"
"1150225","00756B","群益投等新興公債","32.68","-0.03","32.75","32.75","32.65","625000","20455390","51","32.67","32.68","1426800000","9999.95","0.01"
"1150225","00758B","復華能源債","52.70","-0.15","52.70","52.70","52.70","100000","5270000","2","52.50","52.70","5525000","9999.95","0.01"
"1150225","00759B","復華製藥債","56.15","0.00","56.15","56.15","56.15","100000","5615000","2","56.00","56.20","47525000","9999.95","0.01"
"1150225","00760B","復華新興企業債","55.30","-0.15","55.45","55.50","55.30","43000","2382650","21","55.25","55.35","458020000","9999.95","0.01"
"1150225","00761B","國泰A級公司債","35.51","-0.15","35.63","35.63","35.51","834000","29643590","81","35.51","35.52","2737589000","9999.95","0.01"
"1150225","00764B","群益25年美債","28.90","-0.07","29.04","29.04","28.88","4115000","118975130","150","28.90","28.91","1375500000","9999.95","0.01"
"1150225","00768B","復華20年美債","52.90","-0.15","53.10","53.10","52.90","339000","17959550","62","52.90","52.95","683600000","9999.95","0.01"
"1150225","00772B","中信高評級公司債","34.54","-0.12","34.66","34.67","34.53","2851000","98584160","503","34.53","34.54","3485790000","9999.95","0.01"
"1150225","00773B","中信優先金融債","36.90","-0.15","37.05","37.05","36.89","517000","19095330","97","36.89","36.90","2603290000","9999.95","0.01"
"1150225","00777B","凱基AAA至A公司債","33.48","-0.06","33.48","33.48","33.48","101000","3381480","3","33.45","33.46","1862150000","9999.95","0.01"
"1150225","00778B","凱基金融債20+","35.52","-0.15","35.64","35.64","35.52","110000","3908310","5","35.50","35.51","1565150000","9999.95","0.01"
"1150225","00779B","凱基美債25+","29.32","-0.05","29.46","29.46","29.32","353000","10356600","12","29.32","29.33","1162650000","9999.95","0.01"
"1150225","00780B","國泰A級金融債","38.26","-0.20","38.36","38.36","38.26","112000","4288430","13","38.26","38.27","266102000","9999.95","0.01"
"1150225","00781B","國泰A級科技債","29.56","-0.14","29.64","29.64","29.56","149000","4411220","16","29.56","29.60","7836000","9999.95","0.01"
"1150225","00782B","國泰A級公用債","31.36","-0.13","31.28","31.40","31.28","162000","5079140","11","31.34","31.37","17967000","9999.95","0.01"
