日期,股票代號,股票名稱,收盤價,月平均價
"1150121","0050","元大台灣50","71.85","70.58"
"1150121","0051","元大中型100","101.10","97.66"
"1150121","0052","富邦科技","42.11","41.17"
"1150121","0053","元大電子","155.90","152.09"
"1150121","0055","元大MSCI金融","32.10","32.07"
"1150121","0056","元大高股息","38.21","37.75"
"1150121","0057","富邦摩台","209.10","205.54"
"1150121","0061","元大寶滬深","23.85","23.78"
"1150121","006203","元大MSCI台灣","129.75","127.52"
"1150121","006204","永豐臺灣加權","159.30","156.12"
"1150121","006205","富邦上証","41.33","40.97"
"1150121","006206","元大上證50","38.00","38.28"
"1150121","006207","復華滬深","31.84","31.68"
"1150121","006208","富邦台50","164.10","160.89"
"1150121","00625K","富邦上証+R","","9.14"
"1150121","00631L","元大台灣50正2","423.80","410.09"
"1150121","00632R","元大台灣50反1","15.19","15.47"
"1150121","00633L","富邦上証正2","49.07","50.67"
"1150121","00634R","富邦上証反1","3.24","3.19"
"1150121","00635U","期元大S&P黃金","52.10","48.81"
"1150121","00636","國泰中國A50","27.02","27.39"
"1150121","00636K","國泰中國A50+U","8.57","8.72"
"1150121","00637L","元大滬深300正2","20.19","20.85"
"1150121","00638R","元大滬深300反1","6.95","6.82"
"1150121","00639","富邦深100","15.57","15.57"
"1150121","00640L","富邦日本正2","85.50","85.04"
"1150121","00641R","富邦日本反1","4.34","4.36"
"1150121","00642U","期元大S&P石油","15.75","15.40"
"1150121","00643","群益深証中小","18.34","18.01"
"1150121","00643K","群益深証中小+R","4.02","3.98"
"1150121","00645","富邦日本","50.25","50.02"
"1150121","00646","元大S&P500","67.75","68.49"
"1150121","00647L","元大S&P500正2","115.20","118.40"
"1150121","00648R","元大S&P500反1","4.40","4.34"
"1150121","00650L","復華香港正2","18.68","18.78"
"1150121","00651R","復華香港反1","5.16","5.14"
"1150121","00652","富邦印度","35.95","37.11"
"1150121","00653L","富邦印度正2","53.45","56.90"
"1150121","00654R","富邦印度反1","6.56","6.33"
"1150121","00655L","國泰中國A50正2","33.96","35.20"
"1150121","00656R","國泰中國A50反1","6.16","6.03"
"1150121","00657","國泰日經225","61.95","62.02"
"1150121","00657K","國泰日經225+U","19.56","19.61"
"1150121","00660","元大歐洲50","43.20","43.16"
"1150121","00661","元大日經225","67.90","67.96"
"1150121","00662","富邦NASDAQ","101.80","103.29"
"1150121","00663L","國泰臺灣加權正2","55.40","53.53"
"1150121","00664R","國泰臺灣加權反1","2.46","2.50"
"1150121","00665L","富邦恒生國企正2","11.14","11.35"
"1150121","00666R","富邦恒生國企反1","8.71","8.63"
"1150121","00668","國泰美國道瓊","56.05","56.49"
"1150121","00668K","國泰美國道瓊+U","17.70","17.92"
"1150121","00669R","國泰美國道瓊反1","5.69","5.63"
"1150121","00670L","富邦NASDAQ正2","157.90","163.22"
"1150121","00671R","富邦NASDAQ反1","2.89","2.84"
"1150121","00673R","期元大S&P原油反1","27.19","27.88"
"1150121","00674R","期元大S&P黃金反1","5.22","5.59"
"1150121","00675L","富邦臺灣加權正2","168.20","162.68"
"1150121","00676R","富邦臺灣加權反1","8.35","8.50"
"1150121","00678","群益那斯達克生技","35.43","35.23"
"1150121","00680L","元大美債20正2","7.13","7.22"
"1150121","00681R","元大美債20反1","20.94","20.83"
"1150121","00682U","期元大美元指數","20.21","20.29"
"1150121","00683L","期元大美元指正2","20.85","20.96"
"1150121","00684R","期元大美元指反1","15.55","15.52"
"1150121","00685L","群益臺灣加權正2","150.95","146.02"
"1150121","00686R","群益臺灣加權反1","1.49","1.52"
"1150121","00688L","國泰20年美債正2","7.11","7.20"
"1150121","00689R","國泰20年美債反1","21.88","21.69"
"1150121","00690","兆豐藍籌30","48.26","47.25"
"1150121","00692","富邦公司治理","62.65","61.49"
"1150121","00693U","期街口S&P黃豆","20.20","20.18"
"1150121","00700","富邦恒生國企","18.61","18.77"
"1150121","00701","國泰股利精選30","29.14","29.32"
"1150121","00702","國泰標普低波高息","23.19","23.51"
"1150121","00703","台新MSCI中國","22.33","22.36"
"1150121","00706L","期元大S&P日圓正2","20.04","20.20"
"1150121","00707R","期元大S&P日圓反1","","31.51"
"1150121","00708L","期元大S&P黃金正2","113.30","99.85"
"1150121","00709","富邦歐洲","37.86","37.84"
