日期,西元日期,市場,股票代號,股票名稱,收盤價,漲跌,開盤價,最高價,最低價,成交股數,成交金額,成交筆數,資料來源,下載時間
1150626,2026-06-26,上市,00400A,主動國泰動能高息,14.21,-0.7900,14.82,14.90,14.20,122796938,1780691050,34084,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00401A,主動摩根台灣鑫收,13.21,-0.5800,13.67,13.75,13.20,7890788,105581397,2179,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00402A,主動安聯美國科技,9.70,-0.1900,9.87,9.87,9.67,20294539,197427911,6442,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00403A,主動統一升級50,10.56,-0.5500,10.96,11.07,10.54,519252901,5584404029,122076,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00404A,主動聯博動能50,9.75,-0.4200,10.06,10.07,9.73,31311421,309692121,7373,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00405A,主動富邦台灣龍耀,9.00,-0.4300,9.35,9.42,8.98,198572634,1813846251,49440,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00406A,主動中信台灣收益,9.83,-0.4500,10.20,10.24,9.82,60694952,605258209,15392,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00407A,主動凱基台灣,9.47,-0.4800,9.87,9.89,9.46,696236423,6721902197,166675,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,0050,元大台灣50,103.10,-4.1000,105.40,105.85,102.80,291814760,30384280200,602284,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,0051,元大中型100,142.45,-6.5500,148.90,148.90,142.05,210634,30601089,4050,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,0052,富邦科技,60.60,-2.4000,62.00,62.30,60.50,51417349,3149255156,56753,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,0053,元大電子,233.50,-11.2000,241.45,241.70,233.50,36356,8605212,735,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,0055,元大MSCI金融,42.18,-0.5300,42.80,42.80,42.00,621318,26280345,986,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,0056,元大高股息,51.45,-1.7500,52.80,52.95,51.35,75502054,3932561460,82870,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,0057,富邦摩台,305.60,-12.6000,313.00,313.00,305.60,10544,3256303,371,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,0061,元大寶滬深,25.27,-0.5500,25.83,25.83,25.14,148815,3779776,204,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,006203,元大MSCI台灣,188.95,-6.3500,192.10,192.10,188.05,12870,2436887,132,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,006204,永豐臺灣加權,222.20,-10.7000,223.25,225.90,222.20,5266,1183566,129,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,006205,富邦上証,41.30,-0.7400,42.05,42.09,41.00,888399,36937504,266,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,006206,元大上證50,37.22,-0.6000,37.81,37.82,36.78,69174,2567868,217,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,006207,復華滬深,33.83,-0.7200,34.40,34.66,33.66,332968,11254710,159,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,006208,富邦台50,238.70,-9.4000,244.40,245.00,238.10,10067619,2431002670,39362,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00625K,富邦上証+R,8.92,0.0000,8.92,8.92,8.92,1000,8920,1,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00631L,元大台灣50正2,35.26,-2.9000,36.95,37.14,35.10,664206175,23934140892,323203,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00632R,元大台灣50反1,10.45,0.4100,10.18,10.47,10.15,269460216,2781946730,27033,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00633L,富邦上証正2,50.75,-2.6500,53.50,53.70,50.10,5523178,282109569,1015,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00634R,富邦上証反1,3.09,0.0700,3.01,3.11,3.00,936260,2858210,53,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00635U,期元大S&P黃金,41.90,0.2400,41.90,41.98,41.56,3974403,166129809,3222,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00636,國泰中國A50,28.56,-0.5900,29.15,29.25,28.30,1217376,35214097,313,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00636K,國泰中國A50+U,9.00,-0.2500,9.00,9.00,9.00,200,1800,2,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00637L,元大滬深300正2,21.10,-1.0500,22.24,22.32,20.74,53960611,1154020382,5540,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00638R,元大滬深300反1,6.61,0.1700,6.49,6.66,6.49,1078561,7164230,74,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00639,富邦深100,18.40,-0.5200,19.00,19.00,18.29,1424881,26527788,365,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00640L,富邦日本正2,102.00,-3.2500,103.05,103.90,100.30,220864,22492564,240,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00641R,富邦日本反1,3.85,0.0800,3.81,3.87,3.79,2645915,10154170,199,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00642U,期元大S&P石油,23.00,0.3100,23.40,23.43,22.97,3049437,70820024,1175,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00643,群益深証中小,20.41,-0.5200,21.01,21.01,20.21,2276004,46385779,211,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00643K,群益深証中小+R,4.39,-0.1000,4.49,4.49,4.37,9000,39780,9,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00645,富邦日本,55.85,-0.9500,56.35,56.55,55.55,120657,6753404,455,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00646,元大S&P500,73.35,-0.8000,73.85,73.85,73.10,2929954,215093918,5531,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00647L,元大S&P500正2,128.30,-3.2500,131.55,131.55,127.55,88158,11324989,248,TWSE_CSV,2026-06-26 23:38:11 +0800
1150626,2026-06-26,上市,00648R,元大S&P500反1,4.10,0.0400,4.05,4.11,4.05,4538463,18499775,169,TWSE_CSV,2026-06-26 23:38:11 +0800
