日期,股票代號,股票名稱,收盤價,月平均價
"1150203","0050","元大台灣50","72.95","72.22"
"1150203","0051","元大中型100","105.50","104.95"
"1150203","0052","富邦科技","43.37","42.95"
"1150203","0053","元大電子","161.05","159.65"
"1150203","0055","元大MSCI金融","32.05","31.89"
"1150203","0056","元大高股息","37.63","37.39"
"1150203","0057","富邦摩台","215.75","213.35"
"1150203","0061","元大寶滬深","23.21","23.25"
"1150203","006203","元大MSCI台灣","132.00","130.53"
"1150203","006204","永豐臺灣加權","163.40","161.65"
"1150203","006205","富邦上証","40.13","40.20"
"1150203","006206","元大上證50","37.32","37.41"
"1150203","006207","復華滬深","31.06","31.13"
"1150203","006208","富邦台50","168.80","167.07"
"1150203","00631L","元大台灣50正2","444.35","435.77"
"1150203","00632R","元大台灣50反1","14.80","14.96"
"1150203","00633L","富邦上証正2","46.17","46.61"
"1150203","00634R","富邦上証反1","3.32","3.30"
"1150203","00635U","期元大S&P黃金","51.40","50.51"
"1150203","00636","國泰中國A50","26.39","26.45"
"1150203","00636K","國泰中國A50+U","8.39","8.43"
"1150203","00637L","元大滬深300正2","19.00","19.18"
"1150203","00638R","元大滬深300反1","7.13","7.10"
"1150203","00639","富邦深100","15.24","15.27"
"1150203","00640L","富邦日本正2","88.15","85.85"
"1150203","00641R","富邦日本反1","4.28","4.34"
"1150203","00642U","期元大S&P石油","16.29","16.30"
"1150203","00643","群益深証中小","17.58","17.55"
"1150203","00645","富邦日本","51.00","50.35"
"1150203","00646","元大S&P500","69.30","68.62"
"1150203","00647L","元大S&P500正2","120.55","118.45"
"1150203","00648R","元大S&P500反1","4.29","4.33"
"1150203","00650L","復華香港正2","18.96","18.87"
"1150203","00651R","復華香港反1","5.10","5.11"
"1150203","00652","富邦印度","37.35","36.53"
"1150203","00653L","富邦印度正2","56.35","54.35"
"1150203","00654R","富邦印度反1","6.36","6.50"
"1150203","00655L","國泰中國A50正2","32.02","32.33"
"1150203","00656R","國泰中國A50反1","6.31","6.28"
"1150203","00657","國泰日經225","64.60","63.52"
"1150203","00657K","國泰日經225+U","20.46","20.16"
"1150203","00660","元大歐洲50","43.86","43.49"
"1150203","00661","元大日經225","70.40","69.28"
"1150203","00662","富邦NASDAQ","104.75","103.47"
"1150203","00663L","國泰臺灣加權正2","58.05","56.95"
"1150203","00664R","國泰臺灣加權反1","2.39","2.42"
"1150203","00665L","富邦恒生國企正2","10.97","10.97"
"1150203","00666R","富邦恒生國企反1","8.74","8.76"
"1150203","00668","國泰美國道瓊","57.00","56.52"
"1150203","00668K","國泰美國道瓊+U","18.03","17.93"
"1150203","00669R","國泰美國道瓊反1","5.58","5.63"
"1150203","00670L","富邦NASDAQ正2","167.00","162.60"
"1150203","00671R","富邦NASDAQ反1","2.80","2.84"
"1150203","00673R","期元大S&P原油反1","26.13","26.13"
"1150203","00674R","期元大S&P黃金反1","5.19","5.29"
"1150203","00675L","富邦臺灣加權正2","176.35","172.93"
"1150203","00676R","富邦臺灣加權反1","8.14","8.22"
"1150203","00678","群益那斯達克生技","36.07","35.61"
"1150203","00680L","元大美債20正2","7.08","7.14"
"1150203","00681R","元大美債20反1","21.02","20.95"
"1150203","00682U","期元大美元指數","20.00","20.00"
"1150203","00683L","期元大美元指正2","20.48","20.39"
"1150203","00684R","期元大美元指反1","15.67","15.68"
"1150203","00685L","群益臺灣加權正2","158.10","155.35"
"1150203","00686R","群益臺灣加權反1","1.46","1.48"
"1150203","00688L","國泰20年美債正2","7.06","7.12"
"1150203","00689R","國泰20年美債反1","21.87","21.80"
"1150203","00690","兆豐藍籌30","50.80","50.10"
"1150203","00692","富邦公司治理","64.35","63.70"
"1150203","00693U","期街口S&P黃豆","20.28","20.20"
"1150203","00700","富邦恒生國企","18.44","18.46"
"1150203","00701","國泰股利精選30","28.78","28.68"
"1150203","00702","國泰標普低波高息","23.56","23.61"
"1150203","00703","台新MSCI中國","21.83","21.88"
"1150203","00706L","期元大S&P日圓正2","20.66","20.73"
"1150203","00707R","期元大S&P日圓反1","31.01","30.98"
"1150203","00708L","期元大S&P黃金正2","108.55","104.72"
"1150203","00709","富邦歐洲","39.15","38.83"
"1150203","00710B","復華彭博非投等債","19.12","19.14"
"1150203","00711B","復華彭博新興債","16.32","16.34"
"1150203","00712","復華富時不動產","9.33","9.36"
"1150203","00713","元大台灣高息低波","51.30","51.08"
"1150203","00714","群益道瓊美國地產","20.24","20.30"
"1150203","00715L","期街口布蘭特正2","23.23","23.21"
"1150203","00717","富邦美國特別股","15.26","15.25"
"1150203","00728","第一金工業30","41.57","41.13"
"1150203","00730","富邦臺灣優質高息","22.91","22.80"
"1150203","00731","復華富時高息低波","71.15","70.85"
"1150203","00733","富邦臺灣中小","49.81","49.48"
"1150203","00735","國泰臺韓科技","63.50","62.02"
"1150203","00736","國泰新興市場","29.11","29.00"
"1150203","00737","國泰AI機器人","35.90","35.63"
"1150203","00738U","期元大道瓊白銀","68.25","65.62"
"1150203","00739","元大MSCI A股","26.77","26.82"
"1150203","00752","中信中國50","26.32","26.36"
"1150203","00753L","中信中國50正2","12.45","12.52"
"1150203","00757","統一FANG+","115.45","114.03"
"1150203","00762","元大全球AI","86.25","85.03"
"1150203","00763U","期街口道瓊銅","32.41","31.91"
"1150203","00770","國泰北美科技","54.60","53.83"
"1150203","00771","元大US高息特別股","16.39","16.46"
"1150203","00775B","新光投等債15+","32.70","32.80"
"1150203","00783","富邦中証500","28.10","28.07"
"1150203","00830","國泰費城半導體","57.50","56.35"
"1150203","00850","元大臺灣ESG永續","60.95","60.38"
"1150203","00851","台新全球AI","57.55","57.27"
"1150203","00852L","國泰美國道瓊正2","32.00","31.43"
"1150203","00861","元大全球未來通訊","62.65","61.48"
"1150203","00865B","國泰US短期公債","47.52","47.57"
"1150203","00875","國泰網路資安","37.69","37.38"
"1150203","00876","元大全球5G","60.50","59.33"
"1150203","00878","國泰永續高股息","22.81","22.64"
"1150203","00881","國泰台灣科技龍頭","34.35","33.93"
"1150203","00882","中信中國高股息","15.48","15.39"
"1150203","00885","富邦越南","18.15","18.00"
"1150203","00891","中信關鍵半導體","23.85","23.46"
"1150203","00892","富邦台灣半導體","25.79","25.39"
"1150203","00893","國泰智能電動車","34.49","34.18"
"1150203","00894","中信小資高價30","30.88","30.46"
"1150203","00895","富邦未來車","41.69","41.35"
"1150203","00896","中信綠能及電動車","20.76","20.57"
"1150203","00897","富邦基因免疫生技","9.70","9.58"
"1150203","00898","國泰基因免疫革命","8.25","8.18"
"1150203","00899","FT潔淨能源","22.76","22.70"
"1150203","00900","富邦特選高股息30","14.37","14.28"
"1150203","00901","永豐智能車供應鏈","28.25","27.96"
"1150203","00902","中信電池及儲能","14.02","13.92"
"1150203","00903","富邦元宇宙","17.55","17.34"
"1150203","00904","新光臺灣半導體30","27.40","27.16"
"1150203","00905","FT臺灣Smart","18.81","18.61"
"1150203","00907","永豐優息存股","15.38","15.33"
"1150203","00908","富邦入息REITs+","14.13","14.15"
"1150203","00909","國泰數位支付服務","41.45","40.73"
"1150203","00910","第一金太空衛星","55.80","55.77"
"1150203","00911","兆豐洲際半導體","38.02","37.38"
"1150203","00912","中信臺灣智慧50","23.22","22.99"
"1150203","00913","兆豐台灣晶圓製造","30.20","29.82"
"1150203","00915","凱基優選高股息30","23.53","23.41"
"1150203","00916","國泰全球品牌50","27.27","26.98"
"1150203","00917","中信特選金融","22.36","22.25"
"1150203","00918","大華優利高填息30","22.87","22.77"
"1150203","00919","群益台灣精選高息","23.32","23.20"
"1150203","00920","富邦ESG綠色電力","20.64","20.41"
"1150203","00921","兆豐龍頭等權重","18.13","17.99"
"1150203","00922","國泰台灣領袖50","28.65","28.34"
"1150203","00923","群益台ESG低碳50","29.14","28.77"
"1150203","00924","復華S&P500成長","29.54","29.27"
"1150203","00926","凱基全球菁英55","24.09","23.91"
"1150203","00927","群益半導體收益","24.60","24.37"
"1150203","00929","復華台灣科技優息","19.41","19.30"
"1150203","00930","永豐ESG低碳高息","17.81","17.72"
"1150203","00932","兆豐永續高息等權","14.86","14.82"
