日期,股票代號,股票名稱,收盤價,月平均價
"1150424","00400A","主動國泰動能高息","12.74","11.83"
"1150424","00401A","主動摩根台灣鑫收","11.78","11.28"
"1150424","0050","元大台灣50","89.95","82.12"
"1150424","0051","元大中型100","123.50","117.63"
"1150424","0052","富邦科技","52.70","48.47"
"1150424","0053","元大電子","206.60","186.53"
"1150424","0055","元大MSCI金融","33.15","33.14"
"1150424","0056","元大高股息","40.95","40.04"
"1150424","0057","富邦摩台","268.75","244.15"
"1150424","0061","元大寶滬深","24.14","23.79"
"1150424","006203","元大MSCI台灣","163.80","149.85"
"1150424","006204","永豐臺灣加權","193.40","181.58"
"1150424","006205","富邦上証","40.02","39.95"
"1150424","006206","元大上證50","36.62","36.68"
"1150424","006207","復華滬深","32.39","31.94"
"1150424","006208","富邦台50","208.95","190.43"
"1150424","00625K","富邦上証+R","","8.49"
"1150424","00631L","元大台灣50正2","28.44","24.46"
"1150424","00632R","元大台灣50反1","12.02","13.07"
"1150424","00633L","富邦上証正2","51.30","49.05"
"1150424","00634R","富邦上証反1","3.11","3.19"
"1150424","00635U","期元大S&P黃金","49.05","49.96"
"1150424","00636","國泰中國A50","28.09","27.65"
"1150424","00636K","國泰中國A50+U","8.97","8.75"
"1150424","00637L","元大滬深300正2","21.15","20.25"
"1150424","00638R","元大滬深300反1","6.66","6.85"
"1150424","00639","富邦深100","16.92","16.41"
"1150424","00640L","富邦日本正2","91.00","91.89"
"1150424","00641R","富邦日本反1","4.09","4.07"
"1150424","00642U","期元大S&P石油","28.97","27.63"
"1150424","00643","群益深証中小","19.18","18.61"
"1150424","00643K","群益深証中小+R","","3.80"
"1150424","00645","富邦日本","52.30","52.59"
"1150424","00646","元大S&P500","70.35","68.59"
"1150424","00647L","元大S&P500正2","121.95","115.16"
"1150424","00648R","元大S&P500反1","4.21","4.35"
"1150424","00650L","復華香港正2","17.40","17.45"
"1150424","00651R","復華香港反1","5.22","5.23"
"1150424","00652","富邦印度","33.02","33.48"
"1150424","00653L","富邦印度正2","46.54","46.49"
"1150424","00654R","富邦印度反1","6.82","6.84"
"1150424","00655L","國泰中國A50正2","35.80","34.20"
"1150424","00656R","國泰中國A50反1","5.88","6.04"
"1150424","00657","國泰日經225","69.75","67.36"
"1150424","00657K","國泰日經225+U","22.21","21.36"
"1150424","00660","元大歐洲50","42.50","42.72"
