日期,股票代號,股票名稱,收盤價,月平均價
"1150422","00400A","主動國泰動能高息","12.57","11.69"
"1150422","00401A","主動摩根台灣鑫收","11.79","11.19"
"1150422","0050","元大台灣50","86.35","81.26"
"1150422","0051","元大中型100","125.00","116.82"
"1150422","0052","富邦科技","50.25","48.03"
"1150422","0053","元大電子","197.95","184.29"
"1150422","0055","元大MSCI金融","33.40","33.14"
"1150422","0056","元大高股息","42.61","39.93"
"1150422","0057","富邦摩台","257.65","241.47"
"1150422","0061","元大寶滬深","24.29","23.73"
"1150422","006203","元大MSCI台灣","157.80","148.28"
"1150422","006204","永豐臺灣加權","191.95","180.20"
"1150422","006205","富邦上証","40.28","39.93"
"1150422","006206","元大上證50","36.71","36.70"
"1150422","006207","復華滬深","32.69","31.87"
"1150422","006208","富邦台50","199.95","188.41"
"1150422","00625K","富邦上証+R","","8.49"
"1150422","00631L","元大台灣50正2","27.07","24.03"
"1150422","00632R","元大台灣50反1","12.35","13.19"
"1150422","00633L","富邦上証正2","51.40","48.72"
"1150422","00634R","富邦上証反1","3.09","3.20"
"1150422","00635U","期元大S&P黃金","50.00","50.06"
"1150422","00636","國泰中國A50","28.20","27.58"
"1150422","00636K","國泰中國A50+U","8.90","8.72"
"1150422","00637L","元大滬深300正2","21.20","20.12"
"1150422","00638R","元大滬深300反1","6.64","6.87"
"1150422","00639","富邦深100","17.13","16.32"
"1150422","00640L","富邦日本正2","92.05","92.06"
"1150422","00641R","富邦日本反1","4.04","4.07"
"1150422","00642U","期元大S&P石油","26.65","27.47"
"1150422","00643","群益深証中小","19.37","18.52"
"1150422","00643K","群益深証中小+R","","3.80"
"1150422","00645","富邦日本","52.65","52.64"
"1150422","00646","元大S&P500","70.25","68.34"
"1150422","00647L","元大S&P500正2","121.50","114.22"
"1150422","00648R","元大S&P500反1","4.20","4.37"
"1150422","00650L","復華香港正2","17.75","17.45"
"1150422","00651R","復華香港反1","5.16","5.24"
"1150422","00652","富邦印度","33.78","33.52"
"1150422","00653L","富邦印度正2","48.42","46.43"
"1150422","00654R","富邦印度反1","6.67","6.85"
"1150422","00655L","國泰中國A50正2","35.90","33.95"
"1150422","00656R","國泰中國A50反1","5.85","6.07"
"1150422","00657","國泰日經225","69.70","67.06"
"1150422","00657K","國泰日經225+U","22.27","21.25"
"1150422","00660","元大歐洲50","43.09","42.75"
"1150422","00661","元大日經225","76.75","73.60"
"1150422","00662","富邦NASDAQ","107.95","103.34"
"1150422","00663L","國泰臺灣加權正2","77.60","68.88"
"1150422","00664R","國泰臺灣加權反1","1.99","2.13"
"1150422","00665L","富邦恒生國企正2","10.16","9.90"
"1150422","00666R","富邦恒生國企反1","8.91","9.02"
"1150422","00668","國泰美國道瓊","56.80","55.52"
"1150422","00668K","國泰美國道瓊+U","17.95","17.54"
"1150422","00669R","國泰美國道瓊反1","5.56","5.74"
"1150422","00670L","富邦NASDAQ正2","172.60","156.69"
"1150422","00671R","富邦NASDAQ反1","2.71","2.86"
