日期,股票代號,股票名稱,收盤價,月平均價
"1150305","00895","富邦未來車","40.92","40.93"
"1150305","00896","中信綠能及電動車","21.54","21.72"
"1150305","00897","富邦基因免疫生技","10.11","10.09"
"1150305","00898","國泰基因免疫革命","8.30","8.23"
"1150305","00899","FT潔淨能源","23.04","22.91"
"1150305","00900","富邦特選高股息30","14.34","14.43"
"1150305","00901","永豐智能車供應鏈","29.81","30.05"
"1150305","00902","中信電池及儲能","14.07","14.21"
"1150305","00903","富邦元宇宙","16.16","15.89"
"1150305","00904","新光臺灣半導體30","28.56","28.78"
"1150305","00905","FT臺灣Smart","19.64","19.85"
"1150305","00907","永豐優息存股","15.27","15.50"
"1150305","00908","富邦入息REITs+","14.24","14.23"
"1150305","00909","國泰數位支付服務","40.22","38.64"
"1150305","00910","第一金太空衛星","56.90","55.98"
"1150305","00911","兆豐洲際半導體","36.82","36.89"
"1150305","00912","中信臺灣智慧50","24.61","24.72"
"1150305","00913","兆豐台灣晶圓製造","29.41","29.41"
"1150305","00915","凱基優選高股息30","23.60","23.82"
"1150305","00916","國泰全球品牌50","26.17","25.99"
"1150305","00917","中信特選金融","21.08","21.03"
"1150305","00918","大華優利高填息30","23.10","23.31"
"1150305","00919","群益台灣精選高息","23.71","23.95"
"1150305","00920","富邦ESG綠色電力","20.84","20.98"
"1150305","00921","兆豐龍頭等權重","18.88","18.96"
"1150305","00922","國泰台灣領袖50","30.47","30.70"
"1150305","00923","群益台ESG低碳50","29.00","29.29"
"1150305","00924","復華S&P500成長","28.46","28.18"
"1150305","00926","凱基全球菁英55","23.43","23.30"
"1150305","00927","群益半導體收益","24.53","24.62"
"1150305","00929","復華台灣科技優息","19.34","19.31"
"1150305","00930","永豐ESG低碳高息","17.68","17.84"
"1150305","00932","兆豐永續高息等權","14.35","14.45"
"1150305","00934","中信成長高股息","21.60","21.80"
"1150305","00935","野村臺灣新科技50","37.96","38.24"
"1150305","00936","台新永續高息中小","17.24","17.37"
"1150305","00938","凱基優選30","18.68","18.91"
"1150305","00939","統一台灣高息動能","15.81","15.91"
"1150305","00940","元大台灣價值高息","9.65","9.70"
"1150305","00941","中信上游半導體","21.87","22.01"
"1150305","00943","兆豐電子高息等權","14.68","14.71"
"1150305","00944","野村趨勢動能高息","15.07","15.10"
"1150305","00945B","凱基美國非投等債","14.51","14.46"
"1150305","00946","群益科技高息成長","9.94","9.97"
"1150305","00947","台新臺灣IC設計","23.33","23.33"
"1150305","00949","復華日本龍頭","19.66","19.87"
"1150305","00951","台新日本半導體","14.16","14.26"
"1150305","00952","凱基台灣AI50","12.59","12.70"
"1150305","00953B","群益優選非投等債","9.71","9.67"
"1150305","00954","中信日本半導體","15.17","15.27"
"1150305","00956","中信日經高股息","12.54","12.69"
"1150305","00960","野村全球航運龍頭","17.73","17.92"
"1150305","00961","FT臺灣永續高息","10.15","10.24"
"1150305","00962","台新AI優息動能","10.96","11.12"
"1150305","00963","中信全球高股息","12.33","12.40"
"1150305","00964","中信亞太高股息","13.74","13.73"
"1150305","00965","元大航太防衛科技","26.45","26.30"
"1150305","00971","野村美國研發龍頭","15.42","15.24"
"1150305","00972","野村日本動能高息","19.74","19.95"
"1150305","009800","中信NASDAQ","11.03","10.91"
"1150305","009801","中信美國創新科技","10.63","10.46"
"1150305","009802","富邦旗艦50","12.92","13.05"
"1150305","009803","保德信市值動能50","15.69","15.80"
"1150305","009804","聯邦台精彩50","16.96","17.15"
"1150305","009805","新光美國電力基建","14.86","14.79"
"1150305","009808","華南永昌優選50","22.35","22.61"
"1150305","009809","富邦淨零ESG50","12.39","12.44"
"1150305","00980A","主動野村臺灣優選","16.87","16.92"
"1150305","009810","保德信全球藍籌","18.55","18.49"
"1150305","009811","統一美國50","11.44","11.32"
"1150305","009812","野村日本東證","11.69","11.79"
"1150305","009813","貝萊德標普卓越50","10.26","10.15"
"1150305","009816","凱基台灣TOP50","10.83","10.95"
"1150305","009817","國泰日本不動產","9.88","9.89"
"1150305","00981A","主動統一台股增長","19.50","19.50"
"1150305","00981T","平衡凱基雙核收息","11.27","11.31"
"1150305","00982A","主動群益台灣強棒","15.82","15.85"
"1150305","00982D","主動富邦動態入息","10.21","10.22"
"1150305","00982T","平衡兆豐台美動能","11.41","11.51"
"1150305","00983A","主動中信ARK創新","11.07","10.87"
"1150305","00983D","主動富邦複合收益","10.35","10.32"
"1150305","00984A","主動安聯台灣高息","12.23","12.33"
"1150305","00984D","主動聯博全球非投","9.99","9.96"
"1150305","00985A","主動野村台灣50","15.88","15.93"
"1150305","00985B","群益ESG投等債0-5","10.36","10.35"
"1150305","00986A","主動台新龍頭成長","12.09","12.08"
"1150305","00987A","主動台新優勢成長","11.16","11.21"
"1150305","00988A","主動統一全球創新","12.67","12.71"
"1150305","00989A","主動摩根美國科技","14.20","14.04"
"1150305","00990A","主動元大AI新經濟","12.19","12.20"
"1150305","00991A","主動復華未來50","12.12","12.17"
"1150305","00992A","主動群益科技創新","12.26","12.30"
"1150305","00993A","主動安聯台灣","10.24","10.32"
"1150305","00994A","主動第一金台股優","11.44","11.52"
"1150305","00995A","主動中信台灣卓越","11.18","11.16"
"1150305","01001T","土銀富邦R1","11.85","11.88"
"1150305","01002T","土銀國泰R1","14.56","14.56"
"1150305","01004T","土銀富邦R2","11.21","11.11"
"1150305","01007T","兆豐國泰R2","","13.67"
"1150305","01009T","王道圓滿R1","5.81","5.85"
"1150305","01010T","京城樂富R1","10.05","10.05"
"1150305","020000","富邦特選蘋果N","20.18","20.18"
