日期,股票代號,股票名稱,收盤價,月平均價
"1150323","0050","元大台灣50","74.25","76.54"
"1150323","0051","元大中型100","108.55","108.76"
"1150323","0052","富邦科技","44.10","45.53"
"1150323","0053","元大電子","165.85","170.03"
"1150323","0055","元大MSCI金融","32.00","32.63"
"1150323","0056","元大高股息","37.97","38.63"
"1150323","0057","富邦摩台","220.05","226.15"
"1150323","0061","元大寶滬深","22.75","23.59"
"1150323","006203","元大MSCI台灣","134.35","138.59"
"1150323","006204","永豐臺灣加權","166.90","171.64"
"1150323","006205","富邦上証","38.58","40.73"
"1150323","006206","元大上證50","35.44","37.19"
"1150323","006207","復華滬深","30.46","31.62"
"1150323","006208","富邦台50","172.25","177.49"
"1150323","00625K","富邦上証+R","8.54","8.72"
"1150323","00631L","元大台灣50正2","442.80","472.65"
"1150323","00632R","元大台灣50反1","14.52","14.15"
"1150323","00633L","富邦上証正2","44.40","46.38"
"1150323","00634R","富邦上証反1","3.38","3.29"
"1150323","00635U","期元大S&P黃金","46.18","53.54"
"1150323","00636","國泰中國A50","26.37","26.73"
"1150323","00636K","國泰中國A50+U","8.30","8.46"
"1150323","00637L","元大滬深300正2","18.42","19.14"
"1150323","00638R","元大滬深300反1","7.29","7.11"
"1150323","00639","富邦深100","15.46","15.66"
"1150323","00640L","富邦日本正2","79.60","88.02"
"1150323","00641R","富邦日本反1","4.42","4.23"
"1150323","00642U","期元大S&P石油","26.81","23.83"
"1150323","00643","群益深証中小","17.42","18.25"
"1150323","00643K","群益深証中小+R","3.82","3.95"
"1150323","00645","富邦日本","48.83","51.20"
"1150323","00646","元大S&P500","65.40","67.27"
"1150323","00647L","元大S&P500正2","103.90","111.12"
"1150323","00648R","元大S&P500反1","4.64","4.47"
"1150323","00650L","復華香港正2","15.81","17.27"
"1150323","00651R","復華香港反1","5.59","5.33"
"1150323","00652","富邦印度","31.98","34.13"
"1150323","00653L","富邦印度正2","42.23","47.67"
"1150323","00654R","富邦印度反1","7.32","6.90"
"1150323","00655L","國泰中國A50正2","30.91","32.17"
"1150323","00656R","國泰中國A50反1","6.44","6.29"
"1150323","00657","國泰日經225","60.70","64.03"
"1150323","00657K","國泰日經225+U","18.80","20.15"
"1150323","00660","元大歐洲50","39.92","42.17"
"1150323","00661","元大日經225","66.45","70.24"
"1150323","00662","富邦NASDAQ","97.80","100.66"
"1150323","00663L","國泰臺灣加權正2","57.85","61.79"
"1150323","00664R","國泰臺灣加權反1","2.35","2.29"
"1150323","00665L","富邦恒生國企正2","9.14","9.86"
